,Abstract,KIDNEY,TRANSPLANT,BOTH,CATEGORY
108,"Genome-wide association studies have identified nearly 20 IgA nephropathy susceptibility loci. However, most nonsynonymous coding variants, particularly ones that occur rarely or at a low frequency, have not been well investigated. The authors performed a chip-based association study of IgA nephropathy in 8529 patients with the disorder and 23,224 controls. They identified a rare variant in the gene encoding vascular endothelial growth factor A (VEGFA) that was significantly associated with a two-fold increased risk of IgA nephropathy, which was further confirmed by sequencing analysis. They also identified a novel common variant in PKD1L3 that was significantly associated with lower haptoglobin protein levels. This study, which was well-powered to detect low-frequency variants with moderate to large effect sizes, helps expand our understanding of the genetic basis of IgA nephropathy susceptibility.",Yes,,,"[{'Glomerular Disease': 0.30075037479400635, 'Pediatric Nephrology': 0.2515980899333954, 'Cardionephrology': 0.1391267627477646, 'Clinical Research in Nephrology': 0.08762931823730469, 'Onconephrology': 0.0753394365310669, 'Kidney Transplantation': 0.0644141286611557, 'Blood Purification': 0.05434288829565048, 'Critical Care in Nephrology': 0.02679898589849472}]"
109,"Nutritional epidemiology seeks to understand nutritional determinants of disease in human populations using experimental and observational study designs. Though randomized controlled trials provide the strongest evidence of causality, the expense and difficulty of sustaining adherence to dietary interventions are substantial barriers to investigating dietary determinants of kidney disease. Therefore, nutritional epidemiology commonly employs observational study designs, particularly prospective cohort studies, to investigate long-term associations between dietary exposures and kidney disease. Due to the covarying nature and synergistic effects of dietary components, holistic characterizations of dietary exposures that simultaneously consider patterns of foods and nutrients regularly consumed are generally more relevant to disease etiology than single nutrients or foods. Dietary intakes have traditionally been self-reported and are subject to bias. Statistical methods including energy adjustment and regression calibration can reduce random and systematic measurement errors associated with self-reported diet. Novel approaches that assess diet more objectively are gaining popularity but have not yet fully replaced self-report and require refinement and validation in populations with chronic kidney disease. More accurate and frequent diet assessment in existing and future studies will yield evidence to better personalize dietary recommendations for the prevention and treatment of kidney disease.",Yes,,,"[{'Glomerular Disease': 0.37112367153167725, 'Cardionephrology': 0.15520870685577393, 'Pediatric Nephrology': 0.14895190298557281, 'Clinical Research in Nephrology': 0.1031235083937645, 'Onconephrology': 0.0754169300198555, 'Critical Care in Nephrology': 0.0494810976088047, 'Kidney Transplantation': 0.048349324613809586, 'Blood Purification': 0.04834485054016113}]"
110,Community-acquired acute kidney injury (CA-AKI) develops outside of the hospital and is the most common form of AKI globally. National estimates of CA-AKI in the United States are absent due to limited availability of laboratory data. This study leverages national data from the Veterans Health Administration (VA) to estimate incidence and risk factors of CA-AKI.,Yes,,,"[{'Clinical Research in Nephrology': 0.5989595651626587, 'Cardionephrology': 0.19805558025836945, 'Glomerular Disease': 0.07297813892364502, 'Critical Care in Nephrology': 0.04711374640464783, 'Kidney Transplantation': 0.02957477606832981, 'Onconephrology': 0.023242099210619926, 'Pediatric Nephrology': 0.020309235900640488, 'Blood Purification': 0.009766887873411179}]"
111,"The role of the transplant pharmacist is recognized by transplant programs, governmental groups, and professional organizations as an essential part of the transplant multidisciplinary team. This role has evolved drastically over the last decade with the advent of major advances in the science of transplantation and the growth of the field, which necessitate expanded pharmacy services to meet the needs of patients. Data now exist within all realms of the phases of care for a transplant recipient regarding the utility and benefit of a solid organ transplant (SOT) pharmacist. Furthermore, governing bodies now have the opportunity to use Board Certification in Solid Organ Transplant Pharmacotherapy as a mechanism to identify and recognize specialty knowledge and expertise within the field of SOT pharmacotherapy. The purpose of this paper is to provide an overarching review of the current and future state of SOT pharmacy while also identifying major changes to the profession, forthcoming challenges, and expected areas of growth.",,Yes,,"[{'Abdominal Transplantation': 0.22168706357479095, 'Vascularized Composite Allotransplantation': 0.21966552734375, 'Organ and Tissue Preservation': 0.18127186596393585, 'Thoracic Transplantation': 0.12311825901269913, 'Tissue Injury': 0.050652313977479935, 'Repair': 0.041892994195222855, 'Cell and Stem Cell Transplantation': 0.0353885181248188, 'Immunosuppression': 0.03482489660382271, 'Bioengineering': 0.02898077480494976, 'Inflammation and Aging': 0.024256430566310883, 'Transplantation Immunology': 0.02104930579662323, 'Xenotransplantation': 0.017212003469467163}]"
112,"In clinical organ transplantation, donor and recipient ages may differ substantially. Old donor organs accumulate senescent cells that have the capacity to induce senescence in naïve cells. We hypothesized that the engraftment of old organs may induce senescence in younger recipients, promoting age-related pathologies. When performing isogeneic cardiac transplants between age-mismatched C57BL/6 old donor (18 months) mice and young and middle-aged C57BL/6 (3- or 12- month-old) recipients , we observed augmented frequencies of senescent cells in draining lymph nodes, adipose tissue, livers, and hindlimb muscles 30 days after transplantation. These observations went along with compromised physical performance and impaired spatial learning and memory abilities. Systemic levels of the senescence-associated secretory phenotype factors, including mitochondrial DNA (mt-DNA), were elevated in recipients. Of mechanistic relevance, injections of mt-DNA phenocopied effects of age-mismatched organ transplantation on accelerating aging. Single treatment of old donor animals with senolytics prior to transplantation attenuated mt-DNA release and improved physical capacities in young recipients. Collectively, we show that transplanting older organs induces senescence in transplant recipients, resulting in compromised physical and cognitive capacities. Depleting senescent cells with senolytics, in turn, represents a promising approach to improve outcomes of older organs.",,Yes,,"[{'Xenotransplantation': 0.48663294315338135, 'Inflammation and Aging': 0.1669362634420395, 'Transplantation Immunology': 0.14455989003181458, 'Thoracic Transplantation': 0.049261968582868576, 'Vascularized Composite Allotransplantation': 0.03891901299357414, 'Organ and Tissue Preservation': 0.030597222968935966, 'Tissue Injury': 0.026134179905056953, 'Repair': 0.016770988702774048, 'Cell and Stem Cell Transplantation': 0.01642053760588169, 'Abdominal Transplantation': 0.01319167111068964, 'Bioengineering': 0.00647682324051857, 'Immunosuppression': 0.004098507575690746}]"
113,AKI is a heterogeneous syndrome. Current subphenotyping approaches have only used limited laboratory data to understand a much more complex condition.,Yes,,,"[{'Cardionephrology': 0.39161112904548645, 'Clinical Research in Nephrology': 0.25480717420578003, 'Pediatric Nephrology': 0.16133719682693481, 'Kidney Transplantation': 0.09863914549350739, 'Onconephrology': 0.040969084948301315, 'Critical Care in Nephrology': 0.033099591732025146, 'Glomerular Disease': 0.012229234911501408, 'Blood Purification': 0.0073073809035122395}]"
114,Risk prediction tools for assisting acute kidney injury (AKI) management have focused on AKI onset but have infrequently addressed kidney recovery. We developed clinical models for risk stratification of mortality and major adverse kidney events (MAKE) in critically ill patients with incident AKI.,Yes,,,"[{'Clinical Research in Nephrology': 0.436585396528244, 'Cardionephrology': 0.27602866291999817, 'Critical Care in Nephrology': 0.20238260924816132, 'Kidney Transplantation': 0.027616357430815697, 'Pediatric Nephrology': 0.02274082787334919, 'Onconephrology': 0.014356983825564384, 'Glomerular Disease': 0.013510203920304775, 'Blood Purification': 0.006778967101126909}]"
116,"The established composite kidney end point in clinical trials combines clinical events with sustained large changes in GFR but does not weigh the relative clinical importance of the end point components. By contrast, a hierarchical composite end point (HCE) accounts for the clinical importance of the end point components. The authors developed and validated a kidney HCE that combines clinical kidney outcomes with longitudinal GFR changes (GFR slope). They demonstrate that in seven major placebo-controlled kidney outcome trials with different medications, treatment effect estimates on the HCE were consistently in similar directions and of similar magnitudes compared with treatment effects on the established kidney end point. The HCE's prioritization of clinical outcomes and ability to combine dichotomous outcomes with GFR slope make it an attractive alternative to the established kidney end point.",Yes,,,"[{'Clinical Research in Nephrology': 0.5797772407531738, 'Cardionephrology': 0.22625432908535004, 'Glomerular Disease': 0.10077060759067535, 'Kidney Transplantation': 0.026726752519607544, 'Pediatric Nephrology': 0.023630201816558838, 'Onconephrology': 0.0190053042024374, 'Critical Care in Nephrology': 0.015633851289749146, 'Blood Purification': 0.008201749064028263}]"
117,"Nephrotic syndrome is associated with an acquired hypercoagulopathy that is thought to drive its predisposition for venous thromboembolism. Previous studies have suggested that urinary antithrombin (AT) loss leading to acquired AT deficiency is the primary mechanism underlying this hypercoagulopathy, but this hypothesis has not been directly tested. The objectives of this study were to test the influence of AT levels on hypercoagulopathy in nephrotic syndrome patient samples and perform meta-analyses to evaluate the likelihood of AT deficiency in patients with nephrotic syndrome.",Yes,,,"[{'Clinical Research in Nephrology': 0.35235923528671265, 'Cardionephrology': 0.3352552056312561, 'Pediatric Nephrology': 0.16903018951416016, 'Critical Care in Nephrology': 0.0473664291203022, 'Kidney Transplantation': 0.03384214639663696, 'Blood Purification': 0.03227963298559189, 'Onconephrology': 0.020137539133429527, 'Glomerular Disease': 0.009729573503136635}]"
118,"Cystatin C is recommended for measuring estimated glomerular filtration rate (eGFR) when estimates based on creatinine (eGFR<sub>cr</sub>) are not thought to be accurate enough for clinical decision making. While global adoption is slow, routine cystatin C testing in Sweden has been available for over a decade, providing real-world evidence about the magnitude of differences between eGFR<sub>cys</sub> and eGFR<sub>cr</sub> and their association with clinical outcomes.",Yes,,,"[{'Cardionephrology': 0.42610034346580505, 'Pediatric Nephrology': 0.2938682734966278, 'Clinical Research in Nephrology': 0.0938594862818718, 'Glomerular Disease': 0.07353177666664124, 'Blood Purification': 0.03582298755645752, 'Critical Care in Nephrology': 0.03363405168056488, 'Onconephrology': 0.024132242426276207, 'Kidney Transplantation': 0.01905081793665886}]"
119,"CKD is a major cause of morbidity and mortality in lower-income countries. However, population-based studies characterizing the epidemiology of CKD in these settings are lacking. The study objective was to describe the epidemiology of CKD in a population-based cohort in urban Haiti, including estimates of the prevalence by CKD stage, the magnitude of associated factors with CKD, and the proportion on guideline-recommended treatment.",Yes,,,"[{'Cardionephrology': 0.8936912417411804, 'Glomerular Disease': 0.031900037080049515, 'Clinical Research in Nephrology': 0.026296718046069145, 'Onconephrology': 0.019984394311904907, 'Kidney Transplantation': 0.0099719800055027, 'Blood Purification': 0.008773237466812134, 'Critical Care in Nephrology': 0.005693446379154921, 'Pediatric Nephrology': 0.003688946831971407}]"
120,"Treatment of patients with diabetes and CKD includes optimizing glycemic control using lifestyle modifications and drugs that safely control glycemia and improve clinical kidney and cardiovascular disease outcomes. However, patients with advanced CKD, defined as eGFR <30 ml/min per 1.73 m2 or kidney disease treated with dialysis, have limitations to the use of some preferred glucose-lowering medications, are often treated with insulin, and experience high rates of severe hypoglycemia. Moreover, hemoglobin A1c accuracy decreases as GFR deteriorates. Hence, there is a need for better glycemic monitoring tools. Continuous glucose monitoring allows for 24-hour glycemic monitoring to understand patterns and the effects of lifestyle and medications. Real-time continuous glucose monitoring can be used to guide the administration of insulin and noninsulin therapies. Continuous glucose monitoring can overcome the limitations of self-monitored capillary glucose testing and hemoglobin A1c and has been shown to prevent hypoglycemic excursions in some populations. More data are needed to understand whether similar benefits can be obtained for patients with diabetes and advanced CKD. This review provides an updated approach to management of glycemia in advanced CKD, focusing on the role of continuous glucose monitoring in this high-risk population.",Yes,,,"[{'Glomerular Disease': 0.41913095116615295, 'Cardionephrology': 0.16329161822795868, 'Pediatric Nephrology': 0.1190698966383934, 'Clinical Research in Nephrology': 0.11182310432195663, 'Critical Care in Nephrology': 0.06534582376480103, 'Onconephrology': 0.04609670862555504, 'Kidney Transplantation': 0.041899584233760834, 'Blood Purification': 0.0333423875272274}]"
121,"This study is the first randomized controlled trial to investigate the clinical utility of a noninvasive monitoring biomarker in renal transplantation. Although urine CXCL10 monitoring could not demonstrate a beneficial effect on 1-year outcomes, the study is a rich source for future design of trials aiming to explore the clinical utility of noninvasive biomarkers. In addition, the study supports the use of urine CXCL10 to assess the inflammatory status of the renal allograft.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.49852198362350464, 'Clinical Research in Nephrology': 0.33795326948165894, 'Cardionephrology': 0.06348375231027603, 'Critical Care in Nephrology': 0.0334337092936039, 'Onconephrology': 0.028208371251821518, 'Pediatric Nephrology': 0.01948227547109127, 'Glomerular Disease': 0.010997466742992401, 'Blood Purification': 0.007919172756373882}, {'Transplantation Immunology': 0.5371137261390686, 'Organ and Tissue Preservation': 0.11127442121505737, 'Xenotransplantation': 0.0796513631939888, 'Vascularized Composite Allotransplantation': 0.060099802911281586, 'Inflammation and Aging': 0.03990592807531357, 'Tissue Injury': 0.035682715475559235, 'Abdominal Transplantation': 0.03260360285639763, 'Cell and Stem Cell Transplantation': 0.029364991933107376, 'Bioengineering': 0.027916638180613518, 'Immunosuppression': 0.02341536246240139, 'Repair': 0.018638530746102333, 'Thoracic Transplantation': 0.0043329475447535515}]"
122,Whether biomarkers of tubular injury and inflammation indicate subclinical structural kidney pathology early in type 1 diabetes remains unknown.,Yes,,,"[{'Pediatric Nephrology': 0.49833858013153076, 'Clinical Research in Nephrology': 0.25481465458869934, 'Cardionephrology': 0.11766579002141953, 'Glomerular Disease': 0.04424773156642914, 'Onconephrology': 0.04201783612370491, 'Critical Care in Nephrology': 0.0204623993486166, 'Kidney Transplantation': 0.011839792132377625, 'Blood Purification': 0.010613206773996353}]"
123,This article contains a podcast at https://dts.podtrac.com/redirect.mp3/www.asn-online.org/media/podcast/JASN/2023_04_03_JASN2022060725.mp3,Yes,,,"[{'Kidney Transplantation': 0.24163083732128143, 'Clinical Research in Nephrology': 0.24154239892959595, 'Pediatric Nephrology': 0.15067292749881744, 'Glomerular Disease': 0.1042715385556221, 'Critical Care in Nephrology': 0.0821705013513565, 'Cardionephrology': 0.06183621287345886, 'Blood Purification': 0.06019308790564537, 'Onconephrology': 0.05768246948719025}]"
124,"The prevalence of obesity in the United States and across the world continues to climb, imparting increased risk of chronic disease. This impact is doubly felt in nephrology because obesity not only increases the risk of chronic kidney disease (CKD) but also exacerbates existing cardiovascular morbidity and mortality. The role of medical weight loss therapy in CKD has been debated, but increasing evidence suggests that intentional weight loss is protective against adverse kidney and cardiovascular outcomes. This may be particularly true with the advent of novel pharmacotherapies taking advantage of the incretin system, resulting in weight loss approaching that seen with surgical interventions. Moreover, these novel therapies have repeatedly demonstrated protective effects on the cardiovascular system. Here, we review the impact of obesity and weight loss on CKD, and the biological basis and clinical evidence for incretin therapy. This perspective provides recommended prescribing practices as a practical tool to engage nephrologists and patients with CKD in the treatment of obesity-related morbidity.",Yes,,,"[{'Clinical Research in Nephrology': 0.3275642395019531, 'Cardionephrology': 0.1564713418483734, 'Critical Care in Nephrology': 0.15113399922847748, 'Glomerular Disease': 0.12613160908222198, 'Kidney Transplantation': 0.08254797756671906, 'Pediatric Nephrology': 0.07334109395742416, 'Blood Purification': 0.04939928650856018, 'Onconephrology': 0.03341041877865791}]"
125,Patients hospitalized with COVID-19 are at increased risk for major adverse kidney events (MAKE). We sought to identify plasma biomarkers predictive of MAKE in patients hospitalized with COVID-19.,Yes,,,"[{'Clinical Research in Nephrology': 0.43026942014694214, 'Cardionephrology': 0.17899788916110992, 'Critical Care in Nephrology': 0.15869048237800598, 'Onconephrology': 0.0798850730061531, 'Glomerular Disease': 0.05864093080163002, 'Pediatric Nephrology': 0.037467826157808304, 'Kidney Transplantation': 0.03151378035545349, 'Blood Purification': 0.024534549564123154}]"
126,"In most CKDs, lysyl oxidase oxidation of collagen forms allysine side chains, which then form stable crosslinks. We hypothesized that MRI with the allysine-targeted probe Gd-oxyamine (OA) could be used to measure this process and noninvasively detect renal fibrosis.",Yes,,,"[{'Cardionephrology': 0.5047783255577087, 'Clinical Research in Nephrology': 0.20585358142852783, 'Critical Care in Nephrology': 0.09037252515554428, 'Kidney Transplantation': 0.06191246211528778, 'Onconephrology': 0.04827610030770302, 'Blood Purification': 0.035469088703393936, 'Glomerular Disease': 0.030383171513676643, 'Pediatric Nephrology': 0.022954745218157768}]"
127,"Posttransplant hyperparathyroidism is common, and treatment practices are poorly characterized. The goal of this study was to examine the incidence, associations, and outcomes of posttransplant parathyroidectomy and calcimimetic use in a cohort of Medicare-insured US kidney transplant recipients.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.44589337706565857, 'Clinical Research in Nephrology': 0.20898079872131348, 'Cardionephrology': 0.14762374758720398, 'Onconephrology': 0.07043744623661041, 'Pediatric Nephrology': 0.06135030835866928, 'Critical Care in Nephrology': 0.0346560962498188, 'Blood Purification': 0.016871200874447823, 'Glomerular Disease': 0.014186988584697247}, {'Organ and Tissue Preservation': 0.28177228569984436, 'Abdominal Transplantation': 0.24037428200244904, 'Tissue Injury': 0.1092422604560852, 'Transplantation Immunology': 0.08140183240175247, 'Cell and Stem Cell Transplantation': 0.0537685826420784, 'Vascularized Composite Allotransplantation': 0.050327375531196594, 'Thoracic Transplantation': 0.04597014933824539, 'Xenotransplantation': 0.03642817214131355, 'Repair': 0.033343032002449036, 'Immunosuppression': 0.031040003523230553, 'Inflammation and Aging': 0.021952448412775993, 'Bioengineering': 0.014379655942320824}]"
128,"In June 2022, the US Food and Drug Administration Center for Biologics Evaluation and Research held the 73rd meeting of the Cellular, Tissue, and Gene Therapies Advisory Committee for public discussion of regulatory expectations for xenotransplantation products. The members of a joint American Society of Transplant Surgeons/American Society of Transplantation committee on xenotransplantation compiled a meeting summary focusing on 7 topics believed to be key by the committee: (1) preclinical evidence supporting progression to a clinical trial, (2) porcine kidney function, (3) ethical aspects, (4) design of initial clinical trials, (5) infectious disease issues, (6) industry perspectives, and (7) regulatory oversight.",Yes,Yes,Yes,"[{'Cardionephrology': 0.2159535139799118, 'Onconephrology': 0.18356384336948395, 'Kidney Transplantation': 0.14328724145889282, 'Glomerular Disease': 0.1414768397808075, 'Clinical Research in Nephrology': 0.10524101555347443, 'Pediatric Nephrology': 0.08694574236869812, 'Critical Care in Nephrology': 0.0657089352607727, 'Blood Purification': 0.057822875678539276}, {'Xenotransplantation': 0.914577066898346, 'Cell and Stem Cell Transplantation': 0.05520804971456528, 'Vascularized Composite Allotransplantation': 0.008764845319092274, 'Repair': 0.00785854272544384, 'Bioengineering': 0.0032238971907645464, 'Organ and Tissue Preservation': 0.002851107157766819, 'Transplantation Immunology': 0.0018066402990370989, 'Tissue Injury': 0.001643672469072044, 'Immunosuppression': 0.0012934696860611439, 'Inflammation and Aging': 0.0011137023102492094, 'Abdominal Transplantation': 0.0010249222395941615, 'Thoracic Transplantation': 0.0006340742111206055}]"
129,"Identification of reliable biomarkers to assess kidney fibrosis severity is necessary for patients with CKD. Activin A, a member of the TGF- β superfamily, has been suggested as a biomarker for kidney fibrosis. However, its precise utility in this regard remains to be established.",Yes,,,"[{'Clinical Research in Nephrology': 0.5293062925338745, 'Cardionephrology': 0.35614079236984253, 'Critical Care in Nephrology': 0.03231695294380188, 'Onconephrology': 0.029402628540992737, 'Glomerular Disease': 0.018208932131528854, 'Pediatric Nephrology': 0.01670454442501068, 'Kidney Transplantation': 0.009088349528610706, 'Blood Purification': 0.008831489831209183}]"
130,To determine whether background medications modify the effects of sodium-glucose cotransporter-2 inhibitor (SGLT2i) on the eGFR and kidney outcomes among patients with type 2 diabetes.,Yes,,,"[{'Glomerular Disease': 0.3791395127773285, 'Cardionephrology': 0.23929162323474884, 'Clinical Research in Nephrology': 0.16776172816753387, 'Pediatric Nephrology': 0.11337779462337494, 'Onconephrology': 0.03888043388724327, 'Critical Care in Nephrology': 0.02659052424132824, 'Kidney Transplantation': 0.021366214379668236, 'Blood Purification': 0.01359214074909687}]"
131,"For decades, transplantation has been a life-saving treatment for those fortunate enough to gain access. Nevertheless, many patients die waiting for an organ and countless more never make it onto the waitlist because of a shortage of donor organs. Concurrently, thousands of donated organs are declined for transplant each year because of concerns about poor outcomes post-transplant. The decline of any donated organ-even if medically justified-is tragic for both the donor family and potential recipients. In this Personal Viewpoint, we discuss the need for a new mindset in how we honor the gift of organ donation. We believe that the use of transplant-declined human organs in translational research has the potential to hasten breakthrough discoveries in a multitude of scientific and medical areas. More importantly, such breakthroughs will allow us to properly value every donated organ. We further discuss the many practical challenges that such research presents and offer some possible solutions based on experiences in our own research laboratories. Finally, we share our perspective on what we believe are the necessary next steps to ensure a future where every donated organ realizes its full potential to impact the lives of current and future patients.",,Yes,,"[{'Organ and Tissue Preservation': 0.5441869497299194, 'Vascularized Composite Allotransplantation': 0.08926500380039215, 'Transplantation Immunology': 0.08288240432739258, 'Abdominal Transplantation': 0.06952206790447235, 'Repair': 0.040415942668914795, 'Cell and Stem Cell Transplantation': 0.03957734629511833, 'Thoracic Transplantation': 0.039016034454107285, 'Bioengineering': 0.02916553243994713, 'Tissue Injury': 0.022537698969244957, 'Immunosuppression': 0.019950296729803085, 'Xenotransplantation': 0.013038300909101963, 'Inflammation and Aging': 0.010442397557199001}]"
132,"Belatacept-based immunosuppression in kidney transplantation confers fewer off-target toxicities than calcineurin inhibitors but comes at a cost of increased incidence and severity of acute rejection, potentially due to its deleterious effect on both the number and function of Foxp3<sup>+</sup> regulatory T cells (Tregs). TIGIT is a CD28 family coinhibitory receptor expressed on several subsets of immune cells including Tregs. We hypothesized that coinhibition through TIGIT signaling could function to ameliorate costimulation blockade-resistant rejection. The results demonstrate that treatment with an agonistic anti-TIGIT antibody, when combined with costimulation blockade by CTLA-4Ig, can prolong allograft survival in a murine skin graft model compared with CTLA-4Ig alone. Further, this prolongation of graft survival is accompanied by an increase in the frequency and number of graft-infiltrating Tregs and a concomitant reduction in the number of CD8<sup>+</sup> T cells in the graft. Through the use of Treg-specific TIGIT conditional knockout animals, we demonstrated that the TIGIT-mediated reduction in the graft-infiltrating CD8<sup>+</sup> T cell response is dependent on signaling of TIGIT on Foxp3<sup>+</sup> Tregs. Our results highlight both the key functional role of TIGIT on Foxp3<sup>+</sup> Tregs under conditions in which CTLA-4 is blocked and the therapeutic potential of TIGIT agonism to optimize costimulation blockade-based immunosuppression.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.8238574266433716, 'Cardionephrology': 0.033474307507276535, 'Pediatric Nephrology': 0.03247479349374771, 'Glomerular Disease': 0.03131286799907684, 'Clinical Research in Nephrology': 0.030903112143278122, 'Onconephrology': 0.024245072156190872, 'Critical Care in Nephrology': 0.013262378051877022, 'Blood Purification': 0.010469998233020306}, {'Immunosuppression': 0.6372588276863098, 'Transplantation Immunology': 0.31328749656677246, 'Organ and Tissue Preservation': 0.017119772732257843, 'Cell and Stem Cell Transplantation': 0.010777212679386139, 'Xenotransplantation': 0.004333065822720528, 'Vascularized Composite Allotransplantation': 0.004139601718634367, 'Tissue Injury': 0.003895614994689822, 'Repair': 0.002767218742519617, 'Abdominal Transplantation': 0.0024652709253132343, 'Inflammation and Aging': 0.0019435740541666746, 'Bioengineering': 0.0010783313773572445, 'Thoracic Transplantation': 0.0009341069380752742}]"
133,"BK virus DNAemia (BKPyV) and nephropathy are common after kidney transplant; however, there are limited data on BK infections in nonrenal solid organ transplant recipients. We examined the frequency, clinical and pathologic features, and kidney and lung outcomes of BKPyV and BK virus native kidney nephropathy (BKVN) in lung transplant recipients at our center. Among 878 recipients transplanted from 2003 to 2019, 56 (6%) developed BKPyV at a median of 30.1 months after transplant (range, 0.6-213) and 11 (1.3%) developed BKVN at a median of 46 months after transplant (range, 9-213). The incidence of end-stage kidney disease was significantly higher in patients with peak viral load ≥10 000 copies/mL (39% vs 8%, P < .001). All cases of BKVN were in patients with peak viral load of ≥10 000 copies/mL, and 55% of these patients developed end-stage kidney disease. Despite the reduction of immunosuppression to treat BKVN, only 1 patient developed acute rejection, and lung function was stable >1 year. BKPyV and nephropathy are more common after lung transplantation than previously reported. Routine screening for BKPyV should be considered in all lung transplant recipients.",Yes,Yes,Yes,"[{'Cardionephrology': 0.2703634798526764, 'Clinical Research in Nephrology': 0.22498875856399536, 'Onconephrology': 0.20399589836597443, 'Pediatric Nephrology': 0.1327117532491684, 'Critical Care in Nephrology': 0.07149790972471237, 'Glomerular Disease': 0.04188694432377815, 'Blood Purification': 0.029209448024630547, 'Kidney Transplantation': 0.02534581534564495}, {'Transplantation Immunology': 0.38875383138656616, 'Thoracic Transplantation': 0.35491877794265747, 'Abdominal Transplantation': 0.0890069454908371, 'Vascularized Composite Allotransplantation': 0.04428979381918907, 'Organ and Tissue Preservation': 0.03640357032418251, 'Tissue Injury': 0.026242952793836594, 'Xenotransplantation': 0.02528536319732666, 'Cell and Stem Cell Transplantation': 0.012431426905095577, 'Repair': 0.007371687330305576, 'Inflammation and Aging': 0.005961705464869738, 'Immunosuppression': 0.005942213349044323, 'Bioengineering': 0.003391777630895376}]"
134,"The phenotypic diversity of tuberous sclerosis complex (TSC) kidney pathology is enigmatic. Despite a well-established monogenic etiology, an incomplete understanding of lesion pathogenesis persists. In this review, we explore the question: How do TSC kidney lesions arise? We appraise literature findings in the context of mutational timing and cell-of-origin. Through a developmental lens, we integrate the critical results from clinical studies, human specimens, and genetic animal models. We also review novel insights gleaned from emerging organoid and single-cell sequencing technologies. We present a new model of pathogenesis which posits a phenotypic continuum, whereby lesions arise by mutagenesis during development from variably timed second-hit events. This model can serve as a conceptual framework for testing hypotheses of TSC lesion pathogenesis, both in the kidney and in other affected tissues.",Yes,,,"[{'Cardionephrology': 0.23886705935001373, 'Pediatric Nephrology': 0.2047760933637619, 'Onconephrology': 0.18407197296619415, 'Clinical Research in Nephrology': 0.16853949427604675, 'Kidney Transplantation': 0.06519664824008942, 'Glomerular Disease': 0.06370338052511215, 'Blood Purification': 0.040940068662166595, 'Critical Care in Nephrology': 0.03390529379248619}]"
135,Twenty to 60% of newly created hemodialysis arteriovenous fistulas do not mature adequately for use. One barrier to developing interventions to improve fistula outcomes is a lack of standardized criteria for maturation.,Yes,,,"[{'Cardionephrology': 0.46674931049346924, 'Clinical Research in Nephrology': 0.3553231656551361, 'Critical Care in Nephrology': 0.11633578687906265, 'Glomerular Disease': 0.01920023187994957, 'Onconephrology': 0.011403755284845829, 'Kidney Transplantation': 0.010845521464943886, 'Blood Purification': 0.010808195918798447, 'Pediatric Nephrology': 0.009334040805697441}]"
136,"The kidney failure risk equation (KFRE) uses age, sex, GFR, and urine albumin-to-creatinine ratio (ACR) to predict 2- and 5-year risk of kidney failure in populations with eGFR <60 ml/min per 1.73 m 2 . However, the CKD-EPI 2021 creatinine equation for eGFR is now recommended for use but has not been fully tested in the context of KFRE. In 59 cohorts comprising 312,424 patients with CKD, the authors assessed the predictive performance and calibration associated with the use of the CKD-EPI 2021 equation and whether additional variables and accounting for the competing risk of death improves the KFRE's performance. The KFRE generally performed well using the CKD-EPI 2021 eGFR in populations with eGFR <45 ml/min per 1.73 m 2 and was not improved by adding the 2-year prior eGFR slope and cardiovascular comorbidities.",Yes,,,"[{'Clinical Research in Nephrology': 0.4091298580169678, 'Cardionephrology': 0.2925715446472168, 'Glomerular Disease': 0.2373814582824707, 'Blood Purification': 0.01723708212375641, 'Critical Care in Nephrology': 0.014842606149613857, 'Kidney Transplantation': 0.011834381148219109, 'Onconephrology': 0.009299615398049355, 'Pediatric Nephrology': 0.007703450508415699}]"
137,"There has been just over 30 years of experience in clinical intestine transplant. A rise in demand until 2007 with improving transplant outcomes preceded a subsequent fall in demand due, at least in part, to improvements in pretransplant care of patients with intestinal failure. Over the past 10 to 12 years, there has been no suggestion of an increase in demand and, particularly for adult transplant, there may be a continued trend toward fewer additions to the waiting list and fewer transplants, especially in those needing combined intestine-liver transplant. In addition, over the same period there has been no noticeable improvement in graft survival, with 1- and 5-year graft failure rates averaging 21.6% and 52.5%, respectively, for intestine-alone transplants and 28.6% and 47.2%, respectively, for combined intestine-liver allografts.",,Yes,,"[{'Abdominal Transplantation': 0.20028696954250336, 'Organ and Tissue Preservation': 0.1854444295167923, 'Vascularized Composite Allotransplantation': 0.15843909978866577, 'Transplantation Immunology': 0.13306887447834015, 'Tissue Injury': 0.06300873309373856, 'Repair': 0.05780661478638649, 'Inflammation and Aging': 0.051992110908031464, 'Xenotransplantation': 0.05163984373211861, 'Immunosuppression': 0.04046151414513588, 'Bioengineering': 0.0241484884172678, 'Cell and Stem Cell Transplantation': 0.021849974989891052, 'Thoracic Transplantation': 0.011853240430355072}]"
