,0,COI?
59,"W.J.W. Bos reports research funding from Dutch Kidney Foundation, Leading the Change, Zilveren Kruis Insurance, and ZonMW and advisory or leadership roles for ICHOM working group CKD (chair), various committees on Value Based Healthcare of the Association of Dutch University Hospitals (NFU), and various committees of the Dutch Nephrology Quality Initiative “Nefrovisie.” R. Coppo reports consultancy for Amgen, Anylam, Argenx, Bayer, Calliditas, Chinook, Menarini, Novartis, Otsuka-Visterra, Purespring, Reata, and Stadapharm; honoraria from Amgen, Bayer, Chinook, Menarini, Novartis, Purespring, Stadapharm, and Travere; royalties from UpToDate; advisory or leadership roles for <i>Nephrology Dialysis Transplantation</i> Editorial Board and as an Associate Editor for <i>Pediatric Nephrology</i>; and speakers bureau for Stadpharm and Travere. E. Damato reports employment with and consultancy for Charles River Associates. F. Fakhouri reports consultancy for, honoraria from, and advisory or leadership roles for Alexion, Alnylam, Apellis, Novartis, and Roche. I. Nistor reports speaker fee for AstraZeneca, Boeringer Ingelheim, and Zentiva. A. Ortiz reports consultancy for Fresenius Medical Care, Genzyme Sanofi, and Travere; research funding from AstraZeneca, Mundipharma, and Sanofi Genzyme; honoraria from Advicciene, Alexion, Amgen, Amicus, Astellas, AstraZeneca, Bayer, Chiesi, Freeline, Fresenius Medical Care, Idorsia, Kyowa Kirin, Menarini, Otsuka, Sanofi Genzyme, and Vifor Fresenius Medical Care Renal Pharma; advisory or leadership roles for Board of Directors IIS-Fundacion Jimenez Diaz UAM, Dutch Kidney Foundation scientific advisory board, SOMANE and ERA Councils, and Spanish Society of Nephrology (member); roles on the Editorial Boards of <i>Journal of Nephrology</i>, <i>JASN</i> and <i>Peritoneal Dialysis International</i>; and honoraria for speaker engagements for Advicciene, Alexion, Amgen, Amicus, Astellas, AstraZeneca, Bayer, Chiesi, Fresenius Medical Care, Idorsia, Kyowa Kirin, Menarini, Otsuka, Sanofi-Genzyme, and Vifor Fresenius Medical Care Renal Pharma. M. Pistollato reports employment with, consultancy for, and research funding from Charles River Associates. F. Schaefer reports consultancy for Alexion, Amgen, Astellas, AstraZeneca, Bayer, Boehringer Ingelheim, Fresenius Medical Care, GSK, Otsuka, Purespring, and Roche; research funding from Fresenius Medical Care, Novartis, and Roche; honoraria from Amgen, Otsuka, and Roche; textbook royalties from Springer; and Scientific Advisory Board activities for Alexion and Otsuka. F. Schaefer is a member of the European Reference Network for Rare Kidney Diseases (ERKNet). R. Vanholder reports consultancy for AstraZeneca, Baxter, Fresenius Kabi, Fresenius Medical Care, GlaxoSmithKline, Kibow, Nipro, Nextkidney, and Novartis; honoraria from Baxter Healthcare and Fresenius Medical Care; royalties from UpToDate; and speakers bureau for Fresenius Medical Care, Baxter Healthcare, and Nipro. All remaining authors have nothing to disclose.",
60,"J.J. Carrero reports research funding from Amgen, Astellas, MSD, Novo Nordisk, Swedish Heart and Lung Foundation, Swedish Research Council, and Vifor Pharma; advisory or leadership role on Advisory Committees for AstraZeneca and GSK; role on Editorial Boards for <i>American Journal of Kidney Diseases</i>, <i>European Heart Journal</i>, <i>Journal of Nephrology</i>, and <i>Nephrology Dialysis Transplantation</i>; speakers bureau for Abbott Laboratories, AstraZeneca, Baxter, Fresenius Kabi, and GSK; and other interests or relationships with European Renal Nutrition working group at the ERA-EDTA and the International Society of Renal Nutrition and Metabolism. J.J. Carrero has been a consultant, speaker, or grant recipient for Abbott, Amgen, AstraZeneca, Bayer, Fresenius, Fresenius Kabi, MSD, Nestle, and Vifor Pharma, for topics unrelated to this work. All remaining authors have nothing to disclose.",
61,"G.E. Abra was an employee of Satellite Healthcare; consultancy from Baxter; and advisory or leadership roles as Co-Chair of ASN HDU Virtual Education Program Workgroup (unpaid), <i>Nephrology News & Issues</i> Associate Editor (unpaid), and PDOPPS US Advisory Group member (unpaid). W.F. Hussein reports employment with Satellite Healthcare and advisory or leadership role for GSK. E.D. Weinhandl was an employee of Satellite Healthcare and is now an employee of DaVita Clinical Research; research funding from Dialyze Direct and Outset Medical; and advisory or leadership role for Home Dialyzors United Board of Directors and Medical Education Institute Board of Directors.",
62,"D. Barwinska reports other interests or relationships with Kidney Precision Medicine Project. J.M. Henderson reports consultancy for Novartis and Pfizer and research funding from Pfizer, Q32 Bio, and Visterra. C.L. Phillips reports ownership interest in Alphabet, Berkshire Hathaway, and Disney. P.S. Silva reports consulting and speaker fees from Bayer, Novartis, and Roche and research funding from Kubota Vision, Optomed, and Optos. D.W. Steenkamp reports consultancy for Abbott Diabete Care and grant funding to institution from Abbott Diabetes Care, Novo Nordisk, and Tandem Diabetes Care. A. Verma reports advisory or leadership roles for Editorial Boards for <i>BMC Medicine</i>, <i>BMC Nephrology</i>, <i>Therapeutic Advances in Chronic Disease</i>, and <i>Therapeutic Advances in Endocrinology and Metabolism</i>. A. Verma is a contributor to BMJ Best Practices. S.S. Waikar reports consultancy for Bain, BioMarin, CANbridge, Goldfinch, Google, GSK, Ikena, Novo Nordisk, PepGen, Sironax, Strataca, and Wolters Kluewer; research funding from JNJ, Natera, Pfizer, and Vertex; and serving as an expert witness for litigation related to dialysis lab testing (DaVita), PPIs (Pfizer), PFAO exposure (Dechert), and voclosporin patent (Aurinia). S.S. Waikar's spouse reports employment with Advanced Clinical. All remaining authors have nothing to disclose.",
63,"Declaration of Competing Interest The authors declare the following financial interests/personal relationships which may be considered as potential competing interests: P F Halloran reports financial support was provided by Thermo Fisher Scientific. P F Halloran reports financial support was provided by Natera Inc. P F Halloran reports a relationship with Natera, Inc. that includes: consulting or advisory. Disclosure P F Halloran holds shares in Transcriptome Sciences Inc (TSI), a University of Alberta research company dedicated to developing molecular diagnostics, supported in part by a licensing agreement between TSI and Thermo Fisher Scientific, and by a research grant from Natera Inc. P.F. Halloran is a consultant to Natera Inc. The other authors have nothing to disclose.",
64,"D.G. Manuel reports serving on advisory boards and committees related to coronavirus disease 2019 (no for-profit boards) and serving as a public health consultant for the World Bank and the European Commission. G.A. Knoll reports serving on the editorial board of <i>Canadian Journal of Kidney Health and Disease</i>. M.M. Sood reports having consultancy agreements with, and receiving honoraria and a speaker fee from, AstraZeneca; serving on the editorial boards of <i>American Journal of Kidney Disease</i>, <i>Canadian Journal of Cardiology</i>, and <i>CJASN</i>; serving as an editor for <i>Canadian Journal of Kidney Disease and Health</i>; and serving as a member of the ASN Highlights ESRD Team. N. Tangri reports having consultancy agreements with Marizyme Tricida Inc., Mesentech Inc., PulseData Inc., and Renibus; having an ownership interest in Clinpredict Ltd., Klinrisk, Marizyme, Mesentech Inc., PulseData Inc., Quanta Tricida Inc., and Renibus; receiving research funding from AstraZeneca Inc., Bayer, BI-Lilly, Janssen, Otsuka, and Tricida Inc.; receiving honoraria from AstraZeneca Inc., Bayer, BI-Lilly, Janssen, Otsuka Pharmaceuticals, and Pfizer; having patents or royalties from Klinrisk and Marizyme; having advisory or leadership roles for Clinpredict, Klinrisk, and Tricida Inc.; having other interests or relationships with National Kidney Foundation; and being the founder of Clinpredict and Klinrisk. All remaining authors have nothing to disclose.",
65,"K.L. Cavanaugh reports serving on the editorial boards for <i>American Journal of Kidney Diseases</i>, <i>CJASN</i>, and <i>Medical Decision Making</i>; having ownership interest in HCA Healthcare; having consultancy agreements with Kidney Health Initiative, Reata Pharmaceuticals, and Responsum Health; serving as associate editor for <i>Kidney360</i>; and serving in an advisory or leadership role for the National Kidney Foundation (NKF) Kidney Disease Outcomes Quality Initiative education committee. S. Crowley reports serving in an advisory or leadership role for Veterans Health Administration (VHA). L. Fried reports having consultancy agreements with Akebia, Fibrogen, Bayer, and 3D Communications; having ownership interest <i>via</i> stock in Archer Daniels Midland, ATT, Kroger, Procter & Gamble, and Walmart; receiving research funding from AstraZeneca; and serving on data safety monitoring boards for CSL Behring and Novo Nordisk. A.M. Shukla reports ongoing research support from the Department of Veterans Affairs, Office of Rural Health, Health Service Research and Development award I01HX002639, and Clinical Science Research and Development award I01CX001661; consultancy agreements with Chemocentryx and serving in an advisory or leadership role for the VHA National Peritoneal Dialysis Workgroup. A. Wadhwa reports serving on the medical advisory board of ESRD Network 10, and in an advisory or leadership role for Illinois NKF.",
66,<i>Financial Disclosure:</i> All authors declare that they have no relevant financial interests.,No
67,"D. Lysak reports Consultancy: AbbVie, AstraZeneca, Janssen, and Novartis. J. Machová reports Other Interests or Relationships: Member of the Czech Society of Nephrology and Member of the Czech Transplant Society. All remaining authors have nothing to disclose.",
68,"A. Vijayan reports having consultancy agreements with Astute Inc. and NxStage; having stock in Outset; receiving research funding from Astellas and Spectral; receiving honoraria from ASN, Baxter, Medscape, and NxStage; having an advisory or leadership role for NxStage; and other interests or relationships as a member of the National Kidney Foundation. The remaining author has nothing to disclose.",
69,"A.M.J.S. is supported through a Canada Research Chair (Tier 1) in Regenerative Medicine and Transplant Surgery and through grant support from the Juvenile Diabetes Research Foundation, Diabetes Canada, The Canadian Donation and Transplant Research Project, the Diabetes Research Institute Foundation of Canada, the Alberta Diabetes Foundation, and the Canadian Stem Cell Network. A.M.J.S. serves as a consultant to ViaCyte Inc, Aspect Biosystems Inc, and ProtoKinetix Inc. B.A.M.-G. is currently supported by the Patronage of the National Institute of Medical Sciences and Nutrition Salvador Zubirán by the Foundation for Health and Education Dr Salvador Zubirán (FunSaEd) and the CHRISTUS-LatAm Hub—Excellence and Innovation Center. P.A.S. holds the Charles A. Allard Chair in Diabetes Research. P.A.S. and A.L. are supported by Alberta Health through the Academic Medicine and Health Services Program. The other authors declare no conflicts of interest.",
70,This work was supported in part by grants from the National Institutes of Health (AI142747 and AI148705) to A.S.C. The other author declares no conflicts of interest.,
71,M.C.C.v.G. has Astellas project funding paid to the Erasmus MC. J.U.B. is advisor for Sanofi. The other authors declare no conflicts of interest.,
72,"A. Azhar reports research funding from Eurofins Viracor. V. Balaraman reports research funding from Caredx and Natera and speakers bureau for Veloxis. A. Bhalla reports consultancy for CareDx, Natera, and Visterra. G. Gupta reports consultancy for CareDx; research funding from Merck Pharmaceuticals; honoraria from Alexion, CareDx, Mallinckrodt, Natera, and Veloxis; advisory or leadership role for Frontiers of Medicine; speakers bureau for Alexion, CareDx, Mallinckrodt, and Veloxis; and other interests or relationships with AST KPOP Executive Committee, AST Transplant Nephrology Fellowship Accreditation Committee, and National Kidney Foundation Virginia. I.E. Hall reports advisory or leadership roles as a UNOS Donor Management Goals Advisory Board member (unpaid), Donor Connect Organ Procurement Research Oversight Committee member (unpaid), and National Kidney Foundation member of the Transplant Advisory Committee and the Scientific Advisory Board (both unpaid). M.Z. Molnar reports consultancy for CareDx; honoraria from CareDx; and role on the Editorial Boards of the <i>Clinical Kidney Journal</i>, <i>Frontiers in Medicine</i>, the <i>Journal of Renal Nutrition</i>, <i>International Urology and Nephrology</i>, <i>ISRN Nephrology</i>, and <i>Renal Failure</i>. All remaining authors have to disclose.",
73,"L. Blackwell reports honoraria from Otsuka Canada Pharmaceutical Inc. for participating in a Renal Pharmacist Regional Advisory Board Meeting. P.G. Blake is a contracted Medical Lead at Ontario Renal Network, Ontario Health. P.G. Blake reports honoraria from Baxter Global and Otsuka Australia; an advisory or leadership role as the Medical Director of Ontario Renal Network—this is a paid role; and serving on the Editorial Board of the <i>American Journal of Nephrology</i>. P.A. Brown reports consultancy with Amgen Canada, AstraZeneca Canada, and Otsuka Canada; research funding from Otsuka Canada; and honoraria from AstraZeneca Canada and Otsuka Canada. Z. Chagla reports consultancy agreements with Pfizer; research funding from Gilead, Pfizer, and Roche; and speakers bureau from Gilead and Pfizer. R. Cooper, J. Ip, D. Thomas, and A. Yeung are salaried employees of Ontario Renal Network, Ontario Health. S. Hiremath reports research salary support from the Department of Medicine, University of Ottawa; serving on the Editorial Boards of the <i>American Journal of Kidney Disease</i>, the <i>American Journal of Hypertension</i>, and the <i>Canadian Journal of Cardiology</i>; and serving on the Board of Directors for NephJC (not-for-profit educational entity; unpaid volunteer position). A.K. Jain is a contracted Medical Lead at Ontario Renal Network, Ontario Health. A.K. Jain reports consultancy agreements with AWAK Technologies; research funding from Baxter Healthcare; honoraria from Baxter Healthcare; and an advisory or leadership role for Ontario Renal Network. M. McGuinty reports research funding from VBI. M. Oliver is a contracted Medical Lead at Ontario Renal Network and Ontario Health. He is the owner of Oliver Medical Management, Inc., which is a private corporation that licenses Dialysis Management Analysis and Reporting System software. Oliver Medical Management Inc. is the co-owner of a Canadian patent for DMAR systems. M. Oliver has received honoraria from Baxter Healthcare. M. Pandes reports honoraria from, an advisory or leadership role with, and speakers bureau for AstraZeneca. All remaining authors have nothing to disclose.",
74,"H.-J. Anders received consultancy fees from Aptarion, AstraZeneca, Bayer, Boehringer-Ingelheim, GSK, Janssen, Kezar, Lilly, Novartis, Sanofi, and Vifor; research funding: Boehringer-Ingelheim; and advisory or leadership role: <i>JASN</i>, NDT. N. Bouteldja reports employer: Ocumeda GmbH. O. Gross received consultancy fees from AstraZeneca, Bayer, Boehringer-Ingelheim, Novartis, and Sanofi. O. Gross also reports consultancy: Codon-X Therapeutics Inc., Galapagos, Genzyme/Regulus Therapeutics, ONO-Pharmaceutical Co. Ltd., Reata Pharmaceuticals, Roche; research funding: Bayer AG; and advisory or leadership role: advisory committees for AstraZeneca, Boehringer-Ingelheim, Reata Pharmaceuticals, Roche, and Sanofi US Services Inc./Genzyme/Regulus Therapeutics. P. Romagnani reports research funding: AstraZeneca. All remaining authors have nothing to disclose.",
75,"M.D. Breyer reports Employer: JNJ pharma; Ownership Interest: Eli Lilly and company; Johnson and Johnson; Other Interests or Relationships: University of Michigan Frankel translational research initiative scientific board member. C.-M. Hao reports Consultancy: AstraZeneca; Bayer; Fibrogen; Nicoya Therapeutics (Shanghai) Co., Ltd; Research Funding: Fibrogen; Honoraria: AstraZeneca; Bayer; Eli Lilly; Fibrogen; Novartis; Advisory or Leadership Role: Editorial Board: AJP-renal; Associate Editor: Kidney Disease; and Other Interests or Relationships: Member: ASN; Member: ISN; Standing Committee Member: Chinese Society of Nephrology; President: Chinese Society of Physiology—Renal Physiology. R.C. Harris reports Ownership Interest: Apple; Research Funding: Bayer; and Patents or Royalties: eNOS db/db mouse.",
76,"G.B. Appel reports consultancy agreements with Achillion, Alexion, Apellis, Aurinia, Bristol Myers Squibb, Calliditas, Chemocentryx, E. Lilly, EMD Serono, Genzyme-Sanofi, GlaxoSmithKline, Mallinkrodt, Merck, Novartis, Omeros, Pfizer, Reata, Roche—Genentech, Travere Therapeutics, and Vera Therapeutics; research funding from Achillion-Alexion, Apellis, Calliditas, Chemocentryx, Columbia U, Equillium, Genentech-Roche, Goldfinch, Mallinkrodt, Nephronet, Novartis, Reata, Sanofi-Genzyme, Travere, and Vertex; honoraria from Aurinia and GlaxoSmithKline; royalties from UpToDate; serving on the UpToDate Editorial Board and Med Advisory board for Alexion-Achillion, Alexion, Apellis, Aurinia, BM Squib, Genentech, GlaxoSmithKline, Lilly, Reata, Roche, and Sanofi; and speakers bureau for Aurinia and GSK on lectures on lupus nephritis. S.V. Badve reports in kind support from Bayer AG; funding from the National Health and Medical Research Council of Australia; speakers honorarium from Amgen, AstraZeneca, Bayer, Pfizer, and Vifor Pharma, with fees paid to S.V. Badve's institution; and advisory or leadership roles for advisory boards for Bayer, AstraZeneca, and Vifor Pharma, with fees paid to S.V. Badve's institution. F. Caravaca-Fontán reports consultancy agreements with Apellis and Novartis, research funding from Novartis Pharmaceuticals, and speakers bureau for Apellis and Novartis. J. Chalmers reports research funding from National Health and Medical Research Council (NHMRC) of Australia and from Servier. W.H. Collier reports funding from the NKF to his institute for his graduate research assistantship. J. Floege reports consultancy agreements with Amgen, AstraZeneca, Bayer, Boehringer, Calliditas, Chinook, Novo Nordisk, Novartis, Omeros, Travere, Vifor, and Visterra; honoraria from Amgen, AstraZeneca, Bayer, Boehringer, Calliditas, Chinook, Novo Nordisk, Novartis, Omeros, Travere, Vifor, and Visterra; lecture and consulting honoraria from Alynlam, Amgen, AstraZeneca, Bayer, Boehringer, Calliditas, Fresenius, Novartis, Omeros, Travere, and Vifor; advisory or leadership roles for Calliditas, Omeros, and Travere; speakers bureau for Amgen, AstraZeneca, Novartis, and Vifor; and serving as a member of the data safety monitoring board in trials of Novo Nordisk and Visterra. T. Greene reports research funding from NIH, Janssen Pharmaceuticals, Durect Corporation, and Pfizer and consultancy agreements with AstraZeneca, CSL, and Boehringer-Ingleheim. B. Haaland reports consultancy agreements with Ally Bridge, AstraZeneca, Avidity Partners Management, Guidepoint Global, National Kidney Foundation, Prometic Life Sciences, Proxima Clinical Research, and Value Analytics Labs and ownership interest in Haaland Consulting, LLC, BHP, IBM, RIO, ENB, AQN, GOOD, SQM, WBA, SBRA, BCS, UTG, GSK, WPC, VOD, VICI, AGNC, OHI, MPW, KMI, EPD, PBR, VALE, VZ, IEP, ZIM, ABBV, and ABT. H.J.L. Heerspink reports ongoing consultancy agreements with AstraZeneca, Bayer, Boehringer Ingelheim, CSL Behring, Chinook, Dimerix, Eli-Lilly, Gilead, GoldFinch, Janssen, Merck, Novo Nordisk, and Travere Pharmaceuticals; research funding from AstraZeneca, Novo Nordisk and Janssen research support (grant funding directed to employer); lecture fees from AstraZeneca; and speakers bureau for AstraZeneca. E. Imai reports research funding from AstraZeneca, Boehringer Ingelheim, and Tanabe Mitsubishi; honoraria from AstraZeneca, Boehringer Ingelheim, Daiichi Sankyo, Eli-Lilly, and Ono; and research funding and honorarium for lectures from AstraZeneca, Tanabe Mitsubishi, Boehringer Ingelheim, Daiich Sankyo, Kyowa Kirin, and Novo Nordisk. L.A. Inker reports consultancy agreements with Diamtrix; funding from National Institutes of Health, National Kidney Foundation, Chinnocks, Omeros, Dialysis Clinics, Inc., and Reata Pharmaceuticals for research and contracts to Tufts Medical Center; consulting agreements to Tufts Medical Center with Tricida and HealthLogistics Interactive; advisory or leadership role for Alport Foundation Medical Advisory Council and NKF Scientific Advisory Board; and membership with American Society of Nephrology and National Kidney Foundation. J.B. Lewis reports consultancy agreements with CSL Behring, Biovie, and Veno Stent; ownership interest in circle medical management, a dialysis company; honoraria from CSL Bering and BIOVIE; and advisory or leadership role as treasurer and board member of the CSG, collaborative study group a not for profit academic research organization—not paid; and role as chair of cardio renal advisory committee for the FDA—paid for time. P.K.T. Li reports speaker honoraria from AstraZeneca, Baxter, and FibroGen; honoraria from AstraZeneca for moderator for a symposium during Asian Pacific Congress of Nephrology Oct 2020; speaker honoraria for Baxter on Modern PD Symposium May 2021 and speaker honoraria for Kyowa Kirin; advisory or leadership role for <i>Kidney International</i> and <i>Peritoneal Dialysis International</i>; and other interests or relationships as President, International Association of Chinese Nephrologists. F. Locatelli reports consultancy agreements with Amgen and Baxter; honoraria from Amgen, Astellas, Baxter, and Roche Vifor-Pharma as speaker at sponsored meetings; advisory or leadership roles for Accelsior, Amgen, Astellas, AstraZeneca, Baxter, GSK, Norgine, Otsuca Roche, PT Kalbe Genexine Biologics, Otsuka, Travere, and Vifor Pharma; speakers bureau for Amgen, Astellas, and Roche; speaker at meetings supported with unrestricted grant by Amgen, Astellas, and Vifor; and other interests or relationships with ERA, IN, DOPPS, and Kidney Disease Improving Global Outcomes. B.D. Maes is the National Leader in the ASCEND-D and ND-trial of GSK, the PROTECT and DUPLEX of TRAVERE, and steering committee member in the Novartis APPLAUSE trial and ATACICEPT trial of Vera Therapeutics. B.D. Maes reports employment with AZ Delta Roeselare, Deltalaan 1, 8800 Roeselare, Belgium; consultancy agreements with Novartis, Travere, AstraZeneca, GSK, and VeraTherapeutics; and advisory or leadership role for Novartis and GSK. B.L. Neuen reports consultancy agreements with AstraZeneca, Bayer, Cambridge Healthcare Research, Boehringer and Ingelheim, and Janssen; research funding from Bayer; honoraria from AstraZeneca, Bayer, Boehringer and Ingelheim, Janssen, and Medscape; advisory or leadership role with AstraZeneca, Bayer, and Boehringer and Ingelheim; and speakers bureau for AstraZeneca. B.L. Neuen reports fees for advisory boards, scientific presentations, continuing education, steering committee roles, and travel for AstraZeneca, Bayer, Boehringer and Ingelheim, Cambridge Healthcare, Janssen, and Medscape, with all honoraria paid to his institution. R.D. Perrone reports consultancy agreements with Caraway, Janssen, Navitor, Otsuka, Palladiobio, Reata, and Sanofi-Genzyme; research funding from Kadmon, Otsuka, Palladiobio, Reata, Sanofi, and the US Department of Defense (TAME PKD); honoraria from Otsuka, Reata, and Sanofi-Genzyme; advisory or leadership roles for Otsuka, Palladio Bio, and Sanofi-Genzyme; and other interests or relationships with Critical Path Institute, PKD Foundation, and UpToDate. R.D. Perrone has been a member of steering committees for Otsuka, Sanofi Genzyme, and TAME PKD, with fees paid to employing institutions. G. Remuzzi reports consulting fees from Akebia Pharmaceuticals, Alexion Pharmaceutical, AstraZeneca, BioCryst Pharmaceuticals, Janssen Research & Development, Menarini Ricerche Spa, Otsuka, and Silence Therapeutics and is a member of numerous editorial boards of scientific medical journals. G. Remuzzi has had consultancy agreements with Akebia Therapeutics, Alexion Pharmaceuticals Inc, AstraZeneca, Biocryst Pharmaceuticals, Janssen Pharmaceutical, and Menarini Ricerche SpA and speaker honoraria/travel reimbursement from Boehringer Ingelheim and Novartis. F.P. Schena reports research funding from Puglia Region, Italy; Ministry of University, Rome, Italy; and Ministry of Health, Rome, Italy. C. Wanner reports consultancy agreements with Akebia, Bayer, Boehringer-Ingelheim, Gilead, GSK, MSD, Sanofi, Triceda, and Vifor; Idorsia grant to institution and Sanofi grant to institution; honoraria from Amgen, Astellas, AstraZeneca, Bayer, Boehringer-Ingelheim, Chiesi, FMC, Eli-Lilly, Sanofi, and Takeda; advisory or leadership role as President European Renal Association (ERA); and other interests or relationships with European Renal Association (ERA). The remaining authors have nothing to disclose.",
77,"A.S. Bomback reports consultancy for Amgen, Apellis, Catalyst, Genentech, Kezar, Novartis, Q32, Silence Therapeutics, and Visterra and honoraria from Alexion, ANI, Aurinia, Calliditas, GlaxoSmithKline, Principio, Travere, and UpToDate. P.A. Canetta reports consultancy for Chinook, Novartis, Otsuka, and Travere and research funding from Calliditas, Novartis, and Travere. D. Fermin reports employment with University of Michigan and ownership interest in 10X Genomics, AstraZeneca, Moderna, and Thermo-Fisher Scientific. D.S. Gipson reports employment with NIH/NIDDK/KUH; consultancy between AstraZeneca, Boehringer-Ingelheim, Genentech (no individual consultancy agreements), Goldfinch Bio, Roche, University of Michigan, and Vertex; research funding to University of Michigan from Boehringer-Ingelheim, Genentech/Roche, Goldfinch Bio, Novartis, Reata, and Travere; role on advisory boards/steering committees for AstraZeneca, Goldfinch Bio, Roche/Genentech, and Vertex; member of the Kidney Health Initiative focal segmental glomerulosclerosis and Pediatric IgA Nephropathy projects; Editorial Board member of <i>JASN</i>; collaboration with NephCure Kidney International in efforts to promote pediatric participation in clinical trials for glomerular diseases (PIONEER); and other interests or relationships with Nephrotic Syndrome Patient-Reported Outcome Consortium (public-private partnership, with Goldfinch Bio, GSK, NephCure Kidney International, and Pfizer) and as the Co-chair for National Kidney Foundation Improving Vaccinations in Kidney Disease Workshop. M. Helmuth reports employment with Arbor Research Collaborative for Health, Red Viking, and the University of Michigan. R.A. Lafayette reports consultancy for Alexion, Inc., Aurinia, Calliditas, Inc., Chemocentryx, Chinook, Inc., Novartis, Omeros, Inc., Otsuka, Inc., Travere, Inc., Vera, Inc., and Visterra, Inc. and research funding from Apellis, Calliditas, Inc., Chemocentryx, Chinook, Inc., NIH, Omeros, Inc., Otsuka, Inc., Pfizer, Roche, Travere, Inc., and Vera, Inc. M. Larkina and J.Y. Lai Yee report employment with University of Michigan. D. Marchel reports employment with Centers for Medicare & Medicaid Services. L.H. Mariani reports employment with University of Michigan; consultancy for Calliditas Therapeutics Advisory Board, Chinook Therapeutics Advisory Board, Reata Pharmaceuticals CKD Advisory Committee, and Travere Therapeutics Advisory Board; research funding from Boehringer-Ingelheim and Travere Therapeutics; honoraria from Calliditas Therapeutics Advisory Board, Chinook Therapeutics Advisory Board, Reata Pharmaceuticals CKD Advisory Committee, and Travere Therapeutics Advisory Board; and advisory or leadership roles for Calliditas Therapeutics, Chinook Therapeutics, Reata Pharmaceuticals, and Travere Therapeutics. A.K. Mottl reports consultancy for Bayer, Chinook, and ProKidney; research funding from Alexion, Bayer, Calliditas, Duke Clinical Research Institute, Pfizer, and University of Pennsylvania; honoraria from UpToDate; and advisory or leadership roles for Bayer and Chinook. R.S. Parekh reports consultancy for Vertx as part of the clinical trial support; ownership interest in Coramed-stock, SpineFx, and Synaptive-stock; research funding from the Canadian Institute of Health Research (CIHR), NIH, and Ontario Ministry; patents or royalties from IZI and SpineFx; serving as an Associate Editor of <i>CJASN</i>, a Board Member of Bishop Strachan School, a Board Member of Conference of Independent Schools of Ontario, a Board Member of Baycrest Academy, and a Board Member of Baycrest Hospital; and an advisory or leadership role for ISN Council. R.S. Parekh’s spouse reports patents or royalties from Coramed and serves as an officer of Coramed and SpineFx. M.K. Saha reports consultancy for Calliditas; ownership interest in AMZN, CMG, Novavax, and NVDA; and honoraria from Calliditas, Chemocentryx, Elseiver, and Travere Therapeutics. M.G. Sampson reports an advisory or leadership role for Natera. H. Trachtman reports consultancy for Maze Therapeutics Inc; employment with RenalStrategies LLC and University of Michigan; consultancy for Aclipse, Akebia, Alexion (inactive), Angion, Astellas (inactive), Boehringer-Ingelheim, Bristol Meyers Squibb (inactive), Chemocentryx (DMSB), Complexa (inactive), Goldfinch Bio, Kaneka (inactive), Natera (RenaSight), Otsuka (DSMB Chair for Pediatric Trials), PhaseV, Travere Therapeutics, and Walden; ownership interest in Aclipse and PhaseV; research funding for support for trial design from Goldfinch, Travere Therapeutics, and Walden; honoraria for attendance at glomerular disease panels organized by Astellas and Reata; patents or royalties for design of the EPPIK trial conducted by Travere Therapeutics, planned submission; advisory or leadership roles for Chair of DSMB Otsuka trials of tolvaptan in children, DSMB for ANCA vasculitis for Chemocentryx (completed), DSMB bumetanide-seizure trial (completed), DSMB RIVUR Trial (completed), MEDCAC committee member, Steering Committee for Abatacept Trial for BMS (completed), Steering Committee for DUPRO (DUPLEX and PROTECT trials) for Travere Therapeutics, Steering Committee for Goldfinch Bio (Steering Committee), and Kidney Health Initiative Board of Directors; role on Editorial Boards for <i>Kidney360</i>, <i>Glomerular Disease</i>, and <i>Pediatric Nephrology</i>; and serves as a partner with NephCure Kidney International in efforts to promote pediatric participation in clinical trials for glomerular diseases (PIONEER).",
78,"S. Kalim reports serving on the speakers bureau for Fresenius Kabi. T. Shafi reports consultancy agreements with Cara Therapeutics and Siemens; research funding from Baxter (clinical trial site investigator), Bayer (clinical trial site investigator), CVS (clinical trial site investigator), Goldfinch (clinical trial site investigator), Natera (clinical trial site investigator), and Vertex (clinical trial site investigator); grants from the NIH during the conduct of the study; honoraria from Cara Therapeutics and Siemens; and advisory or leadership roles for <i>American Journal of Kidney Diseases</i>, <i>American Journal of Medicine</i>, <i>CJASN</i>, and <i>Kidney360</i>. All remaining authors have nothing to disclose.",
