aff,parent
"Department of Epidemiology and Biostatistics, University of California San Francisco, San Francisco, CA. Electronic address: elaine.ku@ucsf.edu.",University of California]US
"Nephrology Division, New York Grossman School of Medicine, NYU Langone Health, New York, New York.",New York University]US
"Division of Epidemiology, Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee.",Vanderbilt University]US
"Department of Abdominal Transplantation, Stanford University Medical Center, Palo Alto, CA.",Stanford University]US
"Department of Pediatrics, Division of Nephrology, Stanford University School of Medicine, Palo Alto, California, USA",Stanford University]US
"Hines Veterans Health Administration, Chicago, Illinois.",VA Health Systems Research]US
"Yale School of Medicine, Department of Surgery, New Haven, Connecticut, USA.",Yale University]US
"Department of Pediatrics, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
"Institute for Clinical and Translational Research, School of Nursing, University of Wisconsin Madison, Madison, Wisconsin.",University of Wisconsin]US
"Department of Information and Outreach, American Society of Nephrology, Washington, DC.",American Society of Nephrology]US
"DaVita Kidney Care Inc, Denver, Colorado.",DaVita Inc]US
"Division of Pediatric Nephrology, Department of Pediatrics, Texas Children's Hospital/Baylor College of Medicine, Houston, Texas. Electronic address: mmichael@bcm.edu.",Baylor College of Medicine]US
"Division of Nephrology and Hypertension , Mayo Clinic , Jacksonville, Florida.",Mayo Clinic]US
"Department of Surgery, Mayo Clinic, Rochester, Minnesota, USA.",Mayo Clinic]US
"Division Pediatric Nephrology, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Department of Physiology and Biochemical Engineering Robert and Arlene Kogod Center on Aging, Mayo Clinic, Rochester, Minnesota, USA.",Mayo Clinic]US
"Section of Nephrology and Clinical and Translational Research Accelerator, Department of Internal Medicine, School of Medicine, Yale University, New Haven, Connecticut.",Yale University]US
"Department of Medicine, University of Illinois at Chicago, Chicago, Illinois.",University of Illinois]US
"Division of Nephrology, University of Virginia School of Medicine, Charlottsville, Virginia.",University of Virginia]US
"Division of Nephrology and Hypertension, Department of Medicine, Stony Brook University, Stony Brook, New York.",State University of New York]US
"Department of Pediatrics, Weill Cornell Medicine and New York-Presbyterian Hospital, New York, New York. Electronic address: oma9005@med.cornell.edu.",Cornell University]US
"Duke University Clinical Microbiology Laboratory, Durham, North Carolina, USA.",Duke University]US
"Department of Epidemiology, Columbia University Mailman School of Public Health, New York, NY",Columbia University]US
"Maze Therapeutics, South San Francisco, California.",Maze Inc]US
"Department of Medicine, University of California San Francisco and the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, California.",University of California]US
"Geriatric Research and Education Clinical Center, VA Palo Alto Health Care Systems, Palo Alto, California.",VA Health Systems Research]US
"Critical Path Institute, Tucson, Arizona, USA.",Critical Path Institute]US
"Departments of Medicine, of Epidemiology and Population Health, of Biomedical Data Science, and of Statistics and Meta-Research Innovation Center at Stanford (METRICS), Stanford University, Stanford, California.",Stanford University]US
"Laboratory of Pathology, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health]US
"Computational Medicine Program, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA.",University of North Carolina]US
"Quantitative Health Sciences, Mayo Clinic, Scottsdale, AZ.",Mayo Clinic]US
"Division of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
"Department of Dermatology, University of California Davis School of Medicine, Sacramento, California, USA",University of California]US
"University of Alabama at Birmingham, Birmingham, Alabama, USA.",University of Alabama]US
"Department of Medicine, University of Mississippi Medical Center, Jackson, Mississippi.",University of Mississippi]US
"Department of Surgery, Emory University, Atlanta, Georgia.",Emory University]US
"Division of Pulmonary, Critical Care and Sleep Medicine, Department of Medicine, University of Washington, Seattle, Washington.",University of Washington]US
"Departments of Biomedical Informatics, Biostatistics, and Medicine, Vanderbilt University Medical Center, Nashville, Tennessee.",Vanderbilt University]US
"Department of Biostatistics, University of Iowa College of Public Health, Iowa City, Iowa, USA.",University of Iowa]US
"Comprehensive Transplant Center, Northwestern University, USA.",Northwestern Univerisity]US
"Oregon Clinical & Translational Research Institute, Oregon Health & Science University, Portland, Oregon.",Oregon Health and Science University]US
"REACH/Dialysis Clinic, Inc., Nashville, Tennessee.","REACH/Dialysis Clinic, Inc.]US"
"Department of Surgery, Baystate Medical Center Springfield, Massachusetts, Massachusetts, USA.",Baystate Health]US
"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
"Virginia Commonwealth University, Richmond, Virginia.",Virginia Commonwealth University]US
"Center of Innovation to Accelerate Discovery and Practice Transformation, Durham Veterans Affairs Medical Center, Durham, North Carolina.",VA Health Systems Research]US
"Division of Transplantation, Department of Surgery, University of Wisconsin Madison, Madison, Wisconsin. Electronic address: cthiessen@wisc.edu.",University of Wisconsin]US
"Division of Transplantation, Department of Surgery, Emory University School of Medicine, Atlanta, Georgia, USA",Emory University]US
"Department of Medical Social Sciences, Northwestern University, Chicago, Illinois.",Northwestern Univerisity]US
"Department of Biostatistics, Epidemiology, and Informatics, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Division of Hematology-Oncology, Tufts Medical Center, Boston, Massachusetts.",Tufts University]US
"Department of Biomedical Informatics, University of Pittsburgh, Pittsburgh, Pennsylvania.",University of Pittsburgh]US
"Center for Kidney Health Research, Departments of Population Health Sciences and Nephrology, Geisinger, Danville, Pennsylvania. Electronic address: achang@geisinger.edu.",Geisinger Health]US
"Department of Physiology and Biochemical Engineering Robert and Arlene Kogod Center on Aging, Mayo Clinic, Rochester, Minnesota, USA",Mayo Clinic]US
"University of Rochester School of Medicine and Dentistry, Rochester, New York.",University of Rochester]US
"Department of Medicine, NYU Grossman School of Medicine, New York, NY.",New York University]US
"Department of Medicine, Division of Nephrology, University of California San Francisco, San Francisco, CA",University of California]US
"Department of Nursing, University of Alabama Huntsville, Huntsville, AL, USA.",University of Alabama]US
"Department of Population Health Sciences, School of Medicine, Duke University, Durham, North Carolina",Duke University]US
"Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
"Department of Internal Medicine, Division of Biomedical Informatics, University of Kentucky, Lexington, KY",University of Kentucky]US
"Department of Biostatistics, Epidemiology and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
"William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, Massachusetts.",Tufts University]US
"William J. von Lie to the big Center for Transplantation and Clinical Regeneration, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Kidney Research Institute, University of Washington, Seattle, Washington.",University of Washington]US
"Division of Infectious Diseases, University of Alabama at Birmingham, Birmingham, Alabama, USA.",University of Alabama]US
"University Hospitals Cleveland Medical Center, Case Western Reserve University, Cleveland, Ohio",Case Western Reserve University]US
"Center for Transplantation Sciences, Massachusetts General Hospital, Boston, Massachusetts, USA",Harvard University]US
"Division of Hematology, Oncology, and Palliative Care, Department of Medicine, University of Wisconsin Madison, Madison, Wisconsin.",University of Wisconsin]US
"Department of Epidemiology, Tulane University, New Orleans, Louisiana.",Tulane University]US
"Duke Clinical Research Institute, Durham, North Carolina.",Duke University]US
"Division of Nephrology-Hypertension, University of California-San Diego, San Diego, California",University of California]US
"Smidt Heart Institute, Cedars-Sinai Medical Center, Beverly Hills, California, USA.",University of California]US
"Johns Hopkins Immunogenetics Laboratory, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Transplant Infectious Disease Program and Transplant Center, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
"Division of Nephrology and Hypertension, School of Medicine, Wayne State University, Detroit, MI.",Wayne State University]US
"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, New York",Columbia University]US
"Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Johns Hopkins University School of Medicine, Baltimore, Maryland",Johns Hopkins University]US
"Department of Pharmacy and Therapeutics, University of Pittsburgh School of Pharmacy, Pittsburgh, Pennsylvania",University of Pittsburgh]US
"Department of Clinical Pharmacy, University of California, San Francisco, CA.",University of California]US
"Division of Hospital Medicine, University of California, Davis, Sacramento. Electronic address: sbascher@ucdavis.edu.",University of California]US
"Division of Endocrinology, Diabetes, Metabolism, and Nutrition, Department of Medicine, Mayo Clinic, Rochester, Minnesota, USA.",Mayo Clinic]US
"Weill Cornell Medicine - New York Presbyterian Hospital, New York, New York, USA.",Cornell University]US
"Division of Abdominal Transplant Surgery, Department of Surgery, School of Medicine, Duke University, Durham, NC.",Duke University]US
"Division of Abdominal Organ Transplantation and Hepato-Biliary and Pancreatic Surgery, Keck School of Medicine, University of Southern California, Los Angeles, California, USA.",University of Southern California]US
"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina.",Duke University]US
"Department of Medicine, School of Medicine, University of Maryland, Baltimore, Maryland.",University of Maryland]US
Colorado Department of Public Health & Environment.,Colorado Department of Public Health & Environment]US
"Division of Cardiovascular Medicine, Vanderbilt University Medical Center, Nashville, Tennessee, USA",Vanderbilt University]US
"Department of Medicine, Duke University Medical Center, Durham, North Carolina.",Duke University]US
"Pathology & Cell Biology, Columbia University Irving Medical Center, New York, USA.",Columbia University]US
"Department of Pediatrics, Division of Nephrology, University of Michigan, Ann Arbor, MI, 48104, USA.",University of Michigan]US
"Department of Plastic and Reconstructive Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Division of Kidney, Urologic, and Hematologic Diseases, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, Maryland.",National Institutes of Health]US
"Department of Surgery, University of Maryland, Baltimore, Maryland.",University of Maryland]US
"Division of Nephrology, Tufts Medical Center, Tufts University School of Medicine, Boston, Massachusetts. Electronic address: rperrone@tuftsmedicalcenter.org.",Tufts University]US
"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio.",Case Western Reserve University]US
"Renal-Electrolyte Division, Department of Medicine, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania.",University of Pittsburgh]US
"Division of Nephrology, Rush University Medical Center, Chicago, Illinois.",Rush University]US
"Department of Medicine, Division of Nephrology, Tufts University, Boston, Massachusetts.",Tufts University]US
"Division of Nephrology, University of Illinois at Chicago, Chicago, Illinois.",University of Illinois]US
"Mouse Behavior Core, Department of Genetics, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
"Department of Transplant,Mayo Clinic Florida,Jacksonville,Florida,USA. Electronic address: croome.kristopher@mayo.edu.",Mayo Clinic]US
"Division of Research, Kaiser Permanente Northern California, Oakland, California",Kaiser Permanente]US
"Department of Pediatrics and Medicine, University of Minnesota, Minneapolis, Massachusetts.",University of Minnesota]US
"Division of High-Consequence Pathogens and Pathology, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, Georgia, USA.",CDC]US
"Cardiology Division, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts.",Harvard University]US
"Department of Surgery/Transplant, Yale University School of Medicine, New Haven, CT.",Yale University]US
"Center for Precision Medicine and Genomics, Department of Medicine, Columbia University, New York City, New York, USA.",Columbia University]US
"Division of Pulmonary, Allergy and Critical Care Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
"School of Medicine, University of Colorado, Aurora, Colorado.",University of Colorado]US
"Department of Medicine, Stanford Center for Clinical Research, Palo Alto, CA.",Stanford University]US
"Department of Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Department of Plastic and Reconstructive Surgery, Morsani College of Medicine, University of South Florida, Tampa, Florida, USA.",University of South Florida]US
"Veterans Affairs Health Services Research and Development Center for Innovations in Quality, Effectiveness and Safety, Houston, Texas.",VA Health Systems Research]US
"Public Health Division, Oregon Health Authority.",Oregon Health Authority]US
"Division of Infectious Diseases, University of California, San Francisco, California, USA.",University of California]US
"Valley Children's Healthcare, Madera, California.",Stanford University]US
"Division of Renal Diseases and Hypertension, George Washington University, Washington, DC.",George Washington University]US
"Section of Cardiovascular Research, Department of Medicine, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
"Department of Surgery, Thomas E. Starzl Transplantation Institute, University of Pittsburgh, Pittsburgh, Pennsylvania.",University of Pittsburgh]US
"University of Maryland Medical Center, Baltimore, Maryland, USA. Electronic address: mary.lin@som.umaryland.edu.",University of Maryland]US
"Geriatric Research and Education Clinical Center, Palo Alto VA Health Care System, Palo Alto, California.",VA Health Systems Research]US
"Brown and Toland, Oakland, California.",Brown and Toland]US
"Department of Pediatrics, School of Medicine, Emory University, Atlanta, Georgia",Emory University]US
"Department of Radiology, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
"Department of Population Health, New York University Grossman School of Medicine, New York, New York, USA.",New York University]US
"Division of Nephrology, Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA. Electronic address: blm@medicine.wisc.edu.",University of Wisconsin]US
"Center for Health Services and Outcomes Research, Feinberg School of Medicine, Northwestern University, Chicago, Illinois",Northwestern Univerisity]US
"Department of Pulmonary Medicine, Cleveland Clinic, Cleveland, Ohio, USA.",Case Western Reserve University]US
"Vector Psychometric Group, LLC, Chicago, Illinois.",Vector Psychometric Group LLC]US
"Division of Nephrology, Department of Medicine, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Medicine, University of California-San Francisco, San Francisco, California.",University of California]US
"Department of Human Genetics, Emory University School of Medicine, Atlanta, Georgia.",Emory University]US
"Department of Medicine, Division of Nephrology, New York University School of Medicine, NYU Langone Health, New York, New York.",New York University]US
"Division of Renal Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston Massachusetts.",Harvard University]US
"NewYork-Presbyterian Hospital, New York, New York.",Cornell University]US
"Davita, Inc., Denver, Colorado.",DaVita Inc]US
"Department of Pathology and Immunology, Baylor College of Medicine, Texas Children's Hospital, Houston, Texas, USA.",Baylor College of Medicine]US
"Intermountain Health, Murray, Utah.",Intermountain Health Inc]US
"Department of Nephrology and Hypertension, Glickman Urological and Kidney Institute, Cleveland Clinic, Cleveland, Ohio.",Case Western Reserve University]US
"Division of Organ Transplantation, Department of Surgery, University of Massachusetts, UMass Memorial Hospital, University of Massachusetts, Worcester, MA.",University of Massachusetts]US
"Department of Surgery, University of Pittsburgh Medical Center Children's Hospital of Pittsburgh, Pittsburgh, PA.",University of Pittsburgh]US
"Department of Physiology and Hypertension and Renal Center, Tulane University, New Orleans, Louisiana, USA.",Tulane University]US
"Division of Infectious Disease, Department of Pediatrics, Baylor College of Medicine, Texas Children's Hospital, Houston, Texas, USA.",Baylor College of Medicine]US
"Section of Nephrology, Department of Medicine, Yale School of Medicine, New Haven, Connecticut.",Yale University]US
"Department of Pathology, Emory University School of Medicine, Atlanta, Georgia, USA.",Emory University]US
"Center for Clinical Epidemiology and Biostatistics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Department of Pharmaceutical Care and Health Systems , University of Minnesota College of Pharmacy , Minneapolis , Minnesota.",University of Minnesota]US
"Divisions of General Internal Medicine and Nephrology and Department of Population Health Science, School of Medicine, Duke University, Durham, North Carolina.",Duke University]US
"UNC Kidney Center, Division of Nephrology and Hypertension, Department of Medicine, School of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
"Division of Transplantation, Department of Surgery, Medical College of Wisconsin, Milwaukee, WI.",Medical College of Wisconsin]US
"Division of Nephrology, Nationwide Children's Hospital, Columbus, Ohio.",Ohio State University]US
"MacLean Center for Clinical Medical Ethics, University of Chicago, Chicago, Illinois, USA.",University of Chicago]US
"Department of Dermatology, Vanderbilt University Medical Center, Nashville, Tennessee.",Vanderbilt University]US
"Department of Surgery, University of Maryland School of Medicine, Baltimore, Maryland, USA.",University of Maryland]US
"Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",Vanderbilt University]US
"Department of Medicine, Johns Hopkins, Baltimore, Maryland.",Johns Hopkins University]US
"Division of Public Health Sciences, Department of Surgery, Washington University School of Medicine, St. Louis, Missouri, USA.",Washington University in St. Louis]US
"Department of Surgery, University of California San Diego, San Diego, California, USA.",University of California]US
"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital, Boston, Massachusetts, USA",Harvard University]US
"Department of Sociology, Western Washington University, Bellingham, Washington, USA.",Western Washington University]US
"Department of Immunology, Duke University School of Medicine, Durham, North Carolina, USA.",Duke University]US
"Department of Epidemiology, Human Genetics, and Environmental Sciences, The University of Texas Health Science Center at Houston, Houston, Texas.",University of Texas]US
"Department of Cardiology, Baylor University Medical Center, Dallas, Texas, USA.",Baylor University]US
"Division of Transplant Surgery, Department of Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
"Department of Internal Medicine, Saint Louis University, St. Louis, Missouri.",Saint Louis University]US
"Kidney Health Research Institute, Geisinger Health, Danville, Pennsylvania.",Geisinger Health]US
"Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts, USA. Electronic address: rmakar@mgh.harvard.edu.",Harvard University]US
"Department of Medicine, Drexel University College of Medicine, Philadelphia, Pennsylvania",Drexel University]US
"Department of Medicine, Division of Nephrology, Vagelos College of Physicians and Surgeons and Department of Medicine, Mailman School of Public Health, Columbia University, New York, New York.",Columbia University]US
"Department of Medicine, Emory University, Atlanta, Georgia. Electronic address: laura.plantinga@emory.edu.",Emory University]US
"Stanford University School of Medicine, Stanford, California.",Stanford University]US
"Transplant Institute, NYU Langone Health, New York, USA.",New York University]US
"Department of Medicine, University of Maryland School of Medicine, Maryland, USA.",University of Maryland]US
"Division of Infectious Diseases, University of California, San Francisco, California, USA. Electronic address: shereen.katrak@cdph.ca.gov.",University of California]US
"Yale School of Medicine/Yale New Haven Health System, New Haven, Connecticut.",Yale University]US
"Departments of Medicine, Stanford University and VA Palo Alto HCS, Palo Alto, California.",Stanford University]US
Michigan Department of Health & Human Services.,Michigan Department of Health and Human Services]US
"Renal Division, Brigham and Women's Hospital, Boston, Massachusetts.",Harvard University]US
"Center for Abdominal Transplantation, Saint Louis University School of Medicine, St. Louis, Missouri.",Saint Louis University]US
"Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Department of Surgery, Comprehensive Transplant Center, Northwestern University, Chicago, Illinois, USA.",Northwestern Univerisity]US
"Institute for Clinical and Translational Science, The University of Iowa, Iowa City, Iowa.",University of Iowa]US
"Duke Clinical Research Institute, Population Health Sciences, Durham, North Carolina, USA.",Duke University]US
"Division of Gastroenterology and Hepatology, Mayo Clinic College of Medicine and Science, Rochester, Minnesota.",Mayo Clinic]US
"Department of Medicine, Division of Cardiology, University of California San Diego, San Diego, California, USA.",University of California]US
"University of California Los Angeles David Geffen School of Medicine, Los Angeles, California.",University of California]US
"South Texas Renal Care Group, San Antonio, Texas.",South Texas Renal Care]US
"Division of Pediatric Nephrology, Department of Pediatric, NewYork-Presbyterian Morgan Stanley Children's Hospital, Columbia University Irving Medical Center, New York, New York.",Cornell University]US
"Division of Surgical Transplantation, University of Texas Southwestern Medical Center, Dallas, TX.",University of Texas]US
"Department of Pathology and Laboratory Medicine, Emory University, USA.",Emory University]US
"Department of Pediatrics, School of Medicine, University of Washington, Seattle, Washington. Electronic address: joseph.flynn@seattlechildrens.org.",University of Washington]US
"Division of Research, Kaiser Permanente Northern California, Oakland, California.",Kaiser Permanente]US
"Herbert Wertheim School of Public Health and Human Longevity Science, University of California-San Diego, San Diego, California.",University of California]US
"Department of Biomedical Informatics, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
"Division of Nephrology, Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Pathology and Laboratory Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
"Institute for Clinical Research and Health Policy Studies, Biostatistics, Epidemiology, and Research Design Center, Tufts Medical Center, Boston, Massachusetts.",Tufts University]US
"Department of Surgery, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",University of Michigan]US
"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland. Electronic address: crebhol1@jhu.edu.",Johns Hopkins University]US
"Department of Surgery University of Colorado, Anschutz Medical Campus, Aurora, Colorado, USA",University of Colorado]US
"Atlanta Veterans Affairs Medical Center, Decatur, Georgia.",VA Health Systems Research]US
"University of Maryland Medical Center, Baltimore, Maryland, USA.",University of Maryland]US
"Department of Internal Medicine, Gastroenterology and Hepatology, University of Iowa, Iowa City, IA.",University of Iowa]US
"Cardiovascular Division, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
"Department of Medicine, Duke University, Durham, North Carolina.",Duke University]US
"Division of Pulmonary and Critical Care, Department of Medicine, University of California, San Francisco, California, USA. Electronic address: jon.singer@ucsf.edu.",University of California]US
"Department of Surgery, NYU Grossman School of Medicine and NYU Langone Health, New York, New York.",New York University]US
"Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Division of Renal Diseases and Hypertension, Polycystic Kidney Disease Program, University of Colorado Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
"Department of Medicine, Section of Rheumatology, University of Chicago, Chicago, Illinois, USA.",University of Chicago]US
"Division of Nephrology, Department of Internal Medicine, Tufts Medical Center, Boston, Massachusetts.",Tufts University]US
"Department of Medicine and Department of Epidemiology, Biostatistics and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Division of Kidney, Urologic, and Hematologic Diseases, National Institutes of Health, National Institute of Diabetes and Digestive and Kidney Diseases, Bethesda, Maryland.",National Institutes of Health]US
"Department of Computational Medicine & Bioinformatics, and Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
"Department of Urology, University of Toledo Medical Center, Toledo, Ohio, USA.",University of Toledo]US
"Renal-Electrolyte and Hypertension Division, Department of Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
"Transplant Infectious Diseases, NYU Langone Transplant Institute and NYU Grossman School of Medicine, New York, New York, USA.",New York University]US
"Department of Medicine, Renal Division, Brigham and Women's Hospital, Boston, Massachusetts, USA.",Harvard University]US
"Division of Nephrology, School of Medicine, Johns Hopkins University, Baltimore, Maryland. Electronic address: chirag.parikh@jhmi.edu.",Johns Hopkins University]US
"Epidemiology and Biostatistics Shared Resource, Johns Hopkins All Children's Institute for Clinical and Translational Research, Johns Hopkins All Children's Hospital, St. Petersburg, FL.",Johns Hopkins University]US
"Columbia University Irving Medical Center, New York, USA.",Columbia University]US
"Departments of Biostatistics, Epidemiology and Informatics, Center for Clinical Epidemiology and Biostatistics, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Department of Public Health Sciences, College of Medicine, Pennsylvania State University, Hershey, Pennsylvania.",Pennsylvania State University]US
"Division of Nephrology, School of Medicine, New York University, New York, New York",New York University]US
"Department of Surgery and Immunology, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
"Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Surgery, Xenotransplantation Program, University of Alabama at Birmingham, Birmingham, Alabama, USA.",University of Alabama]US
"Basic Research Laboratory, Center for Cancer Research, Frederick National Laboratory, National Cancer Institute, Frederick, Maryland.",National Institutes of Health]US
"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA. Electronic address: metesdm@upmc.edu.",University of Pittsburgh]US
"Department of Pathology, Columbia University Medical Center, New York, New York.",Columbia University]US
"Section of Cardiovascular Research, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
"Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Surgery, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
"Kidney Research Institute, Division of Nephrology, Department of Medicine, University of Washington, Seattle, Washington. Electronic address: bhatraju@uw.edu.",University of Washington]US
"Alnylam Pharmaceuticals, Cambridge, Massachusetts.",Alnylam Pharma Inc]US
"Stanford Hypertension Center and Division of Nephrology, Department of Medicine, School of Medicine, Stanford University, Stanford, California. Electronic address: vbhalla@stanford.edu.",Stanford University]US
"Department of Surgery, Johns Hopkins University School of Medicine, Baltimore, MD.",Johns Hopkins University]US
"Division of Infectious Diseases, Temple University Hospital, Philadelphia, Pennsylvania.",Temple University]US
"Department of Medicine, University of Cincinnati Medical Center, Cincinnati, OH.",University of Cincinnati]US
"Centers for Dialysis Care, Cleveland, Ohio.",Centers for Dialysis Care]US
"Department of Internal Medicine, University of Utah, Salt Lake City, Utah, USA.",University of Utah]US
"Emory University School of Medicine, Atlanta, Georgia.",Emory University]US
"Department of Family and Preventive Medicine, University of Utah, Salt Lake City, Utah.",University of Utah]US
"Oregon Clinical and Translational Research Institute, Oregon Health and Science University, Portland, Oregon.",Oregon Health and Science University]US
"Department of Surgery, Virginia Commonwealth University, Richmond, Virginia, USA.",Virginia Commonwealth University]US
"Eagle Health Analytics, LLC., Atlanta, Georgia.",Eagle Health Analytics LLC]US
"Departments of Pediatrics and Epidemiology, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Wake Forest University School of Medicine Department of Cardiology, Sanger Heart and Vascular Institute, Atrium Health, Charlotte, North Carolina, USA.",University of North Carolina]US
"Icahn School of Medicine at Mount Sinai, New York, New York, USA.",Mount Sinai]US
"Department of Medicine/Division of Infectious Diseases, Weill Cornell Medicine, New York, NY.",Cornell University]US
"Renal Division, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
"Arbor Research Collaborative for Health, Ann Arbor, MI.",University of Michigan]US
"Kidney Health Research Collaborative, Department of Medicine, San Francisco Veterans Affairs Health Care System and University of California San Francisco, San Francisco",VA Health Systems Research]US
"Emory Transplant Center,Emory University,Atlanta, Georgia,USA.",Emory University]US
"Division of Transplant Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, MA.",Harvard University]US
"Division of Nephrology, Department of Medicine, School of Medicine, and Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Division of Nephrology, Loyola University Medical Center, Chicago, Illinois, USA.",Loyola University]US
"Division of Nephrology, Department of Medicine, Johns Hopkins University Baltimore, Maryland",Johns Hopkins University]US
"Division of Cardiovascular Medicine, Vanderbilt University Medical Center, Nashville, Tennessee, USA. Electronic address: kaushik.amancherla@vumc.org.",Vanderbilt University]US
"Department of Medicine, Columbia University Irving Medical Center.",Columbia University]US
"Division of Pulmonary and Critical Care Medicine, School of Medicine, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Division of Transplant Surgery, Department of Surgery, VCU Medical Center, Richmond, VA.",Virginia Commonwealth University]US
"Division of Gastrointestinal and Liver Diseases, Keck School of Medicine, University of Southern California, Los Angeles, California, USA.",University of Southern California]US
"Center for Access and Delivery Research and Evaluation (CADRE), Iowa City VA Health Care System, Iowa City, Iowa, USA",VA Health Systems Research]US
"Emory University and Children's Healthcare of Atlanta, Atlanta, Georgia.",Emory University]US
"Transplant Institute, NYU Langone Health, New York, New York.",New York University]US
"Charles and Jane Park Center for Mineral Metabolism and Clinical Research, University of Texas Southwestern Medical Center, Dallas, TX",University of Texas]US
