,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Department for Anesthesiology, Region Hospital Silkeborg, Denmark.","{'entity_group': 'LOC', 'score': 0.9808376, 'word': 'Region Hospital Silkeborg', 'start': 31, 'end': 56}","{'entity_group': 'LOC', 'score': 0.9999964, 'word': 'Denmark', 'start': 58, 'end': 65}",,,,,,,,,,,,,
"Division of Pediatric Nephrology, Department of Pediatrics, Texas Children's Hospital/Baylor College of Medicine, Houston, Texas. Electronic address: mmichael@bcm.edu.","{'entity_group': 'ORG', 'score': 0.9827086, 'word': 'Division of Pediatric Nephrology', 'start': 0, 'end': 32}","{'entity_group': 'ORG', 'score': 0.99763554, 'word': 'Department of Pediatrics', 'start': 34, 'end': 58}","{'entity_group': 'LOC', 'score': 0.9949915, 'word': ""Texas Children's Hospital"", 'start': 60, 'end': 85}","{'entity_group': 'LOC', 'score': 0.97631276, 'word': 'Baylor College of Medicine', 'start': 86, 'end': 112}","{'entity_group': 'LOC', 'score': 0.99997425, 'word': 'Houston', 'start': 114, 'end': 121}","{'entity_group': 'LOC', 'score': 0.99998283, 'word': 'Texas', 'start': 123, 'end': 128}","{'entity_group': 'PER', 'score': 0.9908257, 'word': 'mmichael', 'start': 150, 'end': 158}","{'entity_group': 'ORG', 'score': 0.9897152, 'word': 'bcm', 'start': 159, 'end': 162}","{'entity_group': 'ORG', 'score': 0.707945, 'word': 'edu', 'start': 163, 'end': 166}",,,,,,
"Division of Nephrology and Hypertension , Mayo Clinic , Jacksonville, Florida.","{'entity_group': 'ORG', 'score': 0.9996974, 'word': 'Division of Nephrology and Hypertension', 'start': 0, 'end': 39}","{'entity_group': 'ORG', 'score': 0.99801403, 'word': 'Mayo Clinic', 'start': 42, 'end': 53}","{'entity_group': 'LOC', 'score': 0.99998844, 'word': 'Jacksonville', 'start': 56, 'end': 68}","{'entity_group': 'LOC', 'score': 0.99999046, 'word': 'Florida', 'start': 70, 'end': 77}",,,,,,,,,,,
"Department of Surgery, Mayo Clinic, Rochester, Minnesota, USA.","{'entity_group': 'ORG', 'score': 0.9881651, 'word': 'Department of Surgery', 'start': 0, 'end': 21}","{'entity_group': 'ORG', 'score': 0.9976124, 'word': 'Mayo Clinic', 'start': 23, 'end': 34}","{'entity_group': 'LOC', 'score': 0.99996376, 'word': 'Rochester', 'start': 36, 'end': 45}","{'entity_group': 'LOC', 'score': 0.9999703, 'word': 'Minnesota', 'start': 47, 'end': 56}","{'entity_group': 'LOC', 'score': 0.9999852, 'word': 'USA', 'start': 58, 'end': 61}",,,,,,,,,,
"Division Pediatric Nephrology, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.","{'entity_group': 'ORG', 'score': 0.6466571, 'word': 'Pediatri', 'start': 9, 'end': 17}","{'entity_group': 'ORG', 'score': 0.79630053, 'word': 'Ne', 'start': 19, 'end': 21}","{'entity_group': 'LOC', 'score': 0.99769306, 'word': ""Children's Hospital of Philadelphia"", 'start': 31, 'end': 66}","{'entity_group': 'LOC', 'score': 0.99997044, 'word': 'Philadelphia', 'start': 68, 'end': 80}","{'entity_group': 'LOC', 'score': 0.99994516, 'word': 'Pennsylvania', 'start': 82, 'end': 94}",,,,,,,,,,
"UCL Great Ormond Street Institute of Child Health, University College London, London, United Kingdom. Electronic address: m.marlais@ucl.ac.uk.","{'entity_group': 'ORG', 'score': 0.9996922, 'word': 'UCL', 'start': 0, 'end': 3}","{'entity_group': 'LOC', 'score': 0.83474106, 'word': 'Great Ormond Street', 'start': 4, 'end': 23}","{'entity_group': 'ORG', 'score': 0.7781082, 'word': 'Institute of Child Health', 'start': 24, 'end': 49}","{'entity_group': 'ORG', 'score': 0.99878424, 'word': 'University College London', 'start': 51, 'end': 76}","{'entity_group': 'LOC', 'score': 0.9999964, 'word': 'London', 'start': 78, 'end': 84}","{'entity_group': 'LOC', 'score': 0.9999961, 'word': 'United Kingdom', 'start': 86, 'end': 100}","{'entity_group': 'PER', 'score': 0.900383, 'word': 'm.marlais', 'start': 122, 'end': 131}","{'entity_group': 'ORG', 'score': 0.9371375, 'word': 'ucl.ac', 'start': 132, 'end': 138}","{'entity_group': 'ORG', 'score': 0.74646676, 'word': 'uk', 'start': 139, 'end': 141}",,,,,,
"Department of Physiology and Biochemical Engineering Robert and Arlene Kogod Center on Aging, Mayo Clinic, Rochester, Minnesota, USA.","{'entity_group': 'ORG', 'score': 0.9913363, 'word': 'Department of Physiology and Biochemical Engineering Robert and Arlene Kogod Center on Aging', 'start': 0, 'end': 92}","{'entity_group': 'ORG', 'score': 0.99319667, 'word': 'Mayo Clinic', 'start': 94, 'end': 105}","{'entity_group': 'LOC', 'score': 0.9998541, 'word': 'Rochester', 'start': 107, 'end': 116}","{'entity_group': 'LOC', 'score': 0.99996746, 'word': 'Minnesota', 'start': 118, 'end': 127}","{'entity_group': 'LOC', 'score': 0.99995863, 'word': 'USA', 'start': 129, 'end': 132}","{'entity_group': 'ORG', 'score': 0.89254725, 'word': '.', 'start': 132, 'end': 133}",,,,,,,,,
"Section of Nephrology and Clinical and Translational Research Accelerator, Department of Internal Medicine, School of Medicine, Yale University, New Haven, Connecticut.","{'entity_group': 'ORG', 'score': 0.99962556, 'word': 'Section of Nephrology and Clinical and Translational Research Accelerator', 'start': 0, 'end': 73}","{'entity_group': 'ORG', 'score': 0.99939644, 'word': 'Department of Internal Medicine', 'start': 75, 'end': 106}","{'entity_group': 'ORG', 'score': 0.9981027, 'word': 'School of Medicine', 'start': 108, 'end': 126}","{'entity_group': 'ORG', 'score': 0.9998712, 'word': 'Yale University', 'start': 128, 'end': 143}","{'entity_group': 'LOC', 'score': 0.99998933, 'word': 'New Haven', 'start': 145, 'end': 154}","{'entity_group': 'LOC', 'score': 0.9999874, 'word': 'Connecticut', 'start': 156, 'end': 167}","{'entity_group': 'ORG', 'score': 0.9431502, 'word': '.', 'start': 167, 'end': 168}",,,,,,,,
"Haitian Group for the Study of Kaposi's Sarcoma and Opportunistic Infections (GHESKIO), Port-au-Prince, Haiti.","{'entity_group': 'ORG', 'score': 0.9620726, 'word': ""Haitian Group for the Study of Kaposi's Sarcoma and Opportunistic Infections"", 'start': 0, 'end': 76}","{'entity_group': 'ORG', 'score': 0.9999888, 'word': 'GHESKIO', 'start': 78, 'end': 85}","{'entity_group': 'LOC', 'score': 0.99998635, 'word': 'Port-au-Prince', 'start': 88, 'end': 102}","{'entity_group': 'LOC', 'score': 0.9999827, 'word': 'Haiti', 'start': 104, 'end': 109}","{'entity_group': 'ORG', 'score': 0.9336523, 'word': '.', 'start': 109, 'end': 110}",,,,,,,,,,
"Department of Pediatric Urology, Azienda Ospedaliera Brotzu, Cagliari, Italy.","{'entity_group': 'ORG', 'score': 0.76816285, 'word': 'Department', 'start': 0, 'end': 10}","{'entity_group': 'ORG', 'score': 0.98539656, 'word': 'Pediatri', 'start': 14, 'end': 22}","{'entity_group': 'ORG', 'score': 0.9795157, 'word': 'Urology', 'start': 24, 'end': 31}","{'entity_group': 'ORG', 'score': 0.9997469, 'word': 'Azienda Ospedaliera Brotzu', 'start': 33, 'end': 59}","{'entity_group': 'LOC', 'score': 0.9998646, 'word': 'Cagliari', 'start': 61, 'end': 69}","{'entity_group': 'LOC', 'score': 0.99999356, 'word': 'Italy', 'start': 71, 'end': 76}",,,,,,,,,
"Department of Medicine, University of Illinois at Chicago, Chicago, Illinois.","{'entity_group': 'ORG', 'score': 0.9873821, 'word': 'Department of Medicine', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99772394, 'word': 'University of Illinois at Chicago', 'start': 24, 'end': 57}","{'entity_group': 'LOC', 'score': 0.9999889, 'word': 'Chicago', 'start': 59, 'end': 66}","{'entity_group': 'LOC', 'score': 0.99999166, 'word': 'Illinois', 'start': 68, 'end': 76}",,,,,,,,,,,
"Department of Clinical Intervention, and Technology (CLINTEC), Karolinska University Hospital and Karolinska Institutet, Stockholm, Sweden.","{'entity_group': 'ORG', 'score': 0.99903804, 'word': 'Department of Clinical Intervention, and Technology', 'start': 0, 'end': 51}","{'entity_group': 'ORG', 'score': 0.9997859, 'word': 'CLINTEC', 'start': 53, 'end': 60}","{'entity_group': 'LOC', 'score': 0.5556681, 'word': 'Karolin', 'start': 63, 'end': 70}","{'entity_group': 'ORG', 'score': 0.5594402, 'word': 'ska', 'start': 70, 'end': 73}","{'entity_group': 'LOC', 'score': 0.5314529, 'word': 'University Hospital', 'start': 74, 'end': 93}","{'entity_group': 'ORG', 'score': 0.9971388, 'word': 'Karolinska Institutet', 'start': 98, 'end': 119}","{'entity_group': 'LOC', 'score': 0.999979, 'word': 'Stockholm', 'start': 121, 'end': 130}","{'entity_group': 'LOC', 'score': 0.99999535, 'word': 'Sweden', 'start': 132, 'end': 138}",,,,,,,
"Department of Pathology, Hôpital Tenon, Assistance Publique-Hôpitaux de Paris, Paris.","{'entity_group': 'LOC', 'score': 0.8934978, 'word': 'Hôpital Tenon', 'start': 25, 'end': 38}","{'entity_group': 'LOC', 'score': 0.6799264, 'word': 'Assistance', 'start': 40, 'end': 50}","{'entity_group': 'ORG', 'score': 0.5346206, 'word': 'Publique', 'start': 51, 'end': 59}","{'entity_group': 'LOC', 'score': 0.65741944, 'word': '-H', 'start': 59, 'end': 61}","{'entity_group': 'LOC', 'score': 0.8831802, 'word': 'pitaux de Paris', 'start': 62, 'end': 77}","{'entity_group': 'LOC', 'score': 0.9999964, 'word': 'Paris', 'start': 79, 'end': 84}",,,,,,,,,
"Service de Néphrologie-Dialyse-Transplantation, CHU d'Angers, Angers, France.","{'entity_group': 'ORG', 'score': 0.9994939, 'word': 'Service de Néphrologie-Dialyse-Transplantation', 'start': 0, 'end': 46}","{'entity_group': 'ORG', 'score': 0.98392254, 'word': ""CHU d'Angers"", 'start': 48, 'end': 60}","{'entity_group': 'LOC', 'score': 0.99999046, 'word': 'Angers', 'start': 62, 'end': 68}","{'entity_group': 'LOC', 'score': 0.9999969, 'word': 'France', 'start': 70, 'end': 76}",,,,,,,,,,,
"Nephrology and Dialysis Unit, San Giovanni di Dio Hospital, AUSL Toscana Centro, Florence, Italy.","{'entity_group': 'LOC', 'score': 0.999794, 'word': 'San Giovanni di Dio Hospital', 'start': 30, 'end': 58}","{'entity_group': 'ORG', 'score': 0.9275876, 'word': 'AUSL', 'start': 60, 'end': 64}","{'entity_group': 'LOC', 'score': 0.8175428, 'word': 'Toscana Centro', 'start': 65, 'end': 79}","{'entity_group': 'LOC', 'score': 0.9999869, 'word': 'Florence', 'start': 81, 'end': 89}","{'entity_group': 'LOC', 'score': 0.9999901, 'word': 'Italy', 'start': 91, 'end': 96}",,,,,,,,,,
"Renal Division, Peking University First Hospital, Peking University, Institute of Nephrology, Beijing, China.","{'entity_group': 'ORG', 'score': 0.70926315, 'word': 'Ren', 'start': 0, 'end': 3}","{'entity_group': 'ORG', 'score': 0.7050422, 'word': 'Division', 'start': 6, 'end': 14}","{'entity_group': 'LOC', 'score': 0.9406938, 'word': 'Peking University First Hospital', 'start': 16, 'end': 48}","{'entity_group': 'ORG', 'score': 0.9956595, 'word': 'Peking University', 'start': 50, 'end': 67}","{'entity_group': 'ORG', 'score': 0.99724287, 'word': 'Institute of Nephrology', 'start': 69, 'end': 92}","{'entity_group': 'LOC', 'score': 0.99999, 'word': 'Beijing', 'start': 94, 'end': 101}","{'entity_group': 'LOC', 'score': 0.9999963, 'word': 'China', 'start': 103, 'end': 108}",,,,,,,,
"Division of Nephrology, University of Virginia School of Medicine, Charlottsville, Virginia.","{'entity_group': 'ORG', 'score': 0.9761691, 'word': 'Division of Nephrology', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.83352584, 'word': 'University of Virginia School of Medicine', 'start': 24, 'end': 65}","{'entity_group': 'LOC', 'score': 0.9998174, 'word': 'Charlottsville', 'start': 67, 'end': 81}","{'entity_group': 'LOC', 'score': 0.9999906, 'word': 'Virginia', 'start': 83, 'end': 91}",,,,,,,,,,,
"National Medical Metabolomics International Collaborative Research Center, Xiangya Hospital, Central South University, Changsha, Hunan, China.","{'entity_group': 'ORG', 'score': 0.99889046, 'word': 'National Medical Metabolomics International Collaborative Research Center', 'start': 0, 'end': 73}","{'entity_group': 'LOC', 'score': 0.9998661, 'word': 'Xiangya Hospital', 'start': 75, 'end': 91}","{'entity_group': 'ORG', 'score': 0.9926447, 'word': 'Central South University', 'start': 93, 'end': 117}","{'entity_group': 'LOC', 'score': 0.99998695, 'word': 'Changsha', 'start': 119, 'end': 127}","{'entity_group': 'LOC', 'score': 0.99998176, 'word': 'Hunan', 'start': 129, 'end': 134}","{'entity_group': 'LOC', 'score': 0.9999943, 'word': 'China', 'start': 136, 'end': 141}",,,,,,,,,
"Department of Cellular Pathology, Queen Elizabeth Hospital Birmingham and Institute of Immunology and Immunotherapy, University of Birmingham, Birmingham, UK.","{'entity_group': 'ORG', 'score': 0.99735016, 'word': 'Department of Cellular Pathology', 'start': 0, 'end': 32}","{'entity_group': 'LOC', 'score': 0.9996049, 'word': 'Queen Elizabeth Hospital Birmingham', 'start': 34, 'end': 69}","{'entity_group': 'ORG', 'score': 0.9998928, 'word': 'Institute of Immunology and Immunotherapy', 'start': 74, 'end': 115}","{'entity_group': 'ORG', 'score': 0.9999288, 'word': 'University of Birmingham', 'start': 117, 'end': 141}","{'entity_group': 'LOC', 'score': 0.9999654, 'word': 'Birmingham', 'start': 143, 'end': 153}","{'entity_group': 'LOC', 'score': 0.99998915, 'word': 'UK', 'start': 155, 'end': 157}","{'entity_group': 'ORG', 'score': 0.8490268, 'word': '.', 'start': 157, 'end': 158}",,,,,,,,
"Division of Nephrology and Hypertension, Department of Medicine, Stony Brook University, Stony Brook, New York.","{'entity_group': 'ORG', 'score': 0.9996621, 'word': 'Division of Nephrology and Hypertension', 'start': 0, 'end': 39}","{'entity_group': 'ORG', 'score': 0.99767166, 'word': 'Department of Medicine', 'start': 41, 'end': 63}","{'entity_group': 'ORG', 'score': 0.99996364, 'word': 'Stony Brook University', 'start': 65, 'end': 87}","{'entity_group': 'LOC', 'score': 0.9999819, 'word': 'Stony Brook', 'start': 89, 'end': 100}","{'entity_group': 'LOC', 'score': 0.9999886, 'word': 'New York', 'start': 102, 'end': 110}","{'entity_group': 'ORG', 'score': 0.9086032, 'word': '.', 'start': 110, 'end': 111}",,,,,,,,,
"Department of Surgery and Science, Kyushu University, Fukuoka, Japan.","{'entity_group': 'ORG', 'score': 0.9996783, 'word': 'Department of Surgery and Science', 'start': 0, 'end': 33}","{'entity_group': 'ORG', 'score': 0.99995655, 'word': 'Kyushu University', 'start': 35, 'end': 52}","{'entity_group': 'LOC', 'score': 0.99998873, 'word': 'Fukuoka', 'start': 54, 'end': 61}","{'entity_group': 'LOC', 'score': 0.99999547, 'word': 'Japan', 'start': 63, 'end': 68}","{'entity_group': 'ORG', 'score': 0.81548095, 'word': '.', 'start': 68, 'end': 69}",,,,,,,,,,
"Queen's University Belfast Centre for Public Health, Belfast, United Kingdom.","{'entity_group': 'ORG', 'score': 0.931965, 'word': ""Queen's University Bel"", 'start': 0, 'end': 22}","{'entity_group': 'LOC', 'score': 0.6291552, 'word': 'fast', 'start': 22, 'end': 26}","{'entity_group': 'ORG', 'score': 0.55746615, 'word': 'Centre for Public Health', 'start': 27, 'end': 51}","{'entity_group': 'LOC', 'score': 0.9999965, 'word': 'Belfast', 'start': 53, 'end': 60}","{'entity_group': 'LOC', 'score': 0.99999684, 'word': 'United Kingdom', 'start': 62, 'end': 76}",,,,,,,,,,
"Institute for Clinical Evaluative Sciences, Ontario, Canada.","{'entity_group': 'ORG', 'score': 0.9999937, 'word': 'Institute for Clinical Evaluative Sciences', 'start': 0, 'end': 42}","{'entity_group': 'LOC', 'score': 0.9999447, 'word': 'Ontario', 'start': 44, 'end': 51}","{'entity_group': 'LOC', 'score': 0.99999475, 'word': 'Canada', 'start': 53, 'end': 59}","{'entity_group': 'ORG', 'score': 0.9638231, 'word': '.', 'start': 59, 'end': 60}",,,,,,,,,,,
"INSERM U1111, Université Claude Bernard Lyon1. Lyon, France.","{'entity_group': 'ORG', 'score': 0.9999826, 'word': 'INSERM', 'start': 0, 'end': 6}","{'entity_group': 'ORG', 'score': 0.9059739, 'word': '1111', 'start': 8, 'end': 12}","{'entity_group': 'ORG', 'score': 0.9991417, 'word': 'Université Claude Bernard Lyon1', 'start': 14, 'end': 45}","{'entity_group': 'LOC', 'score': 0.99999225, 'word': 'Lyon', 'start': 47, 'end': 51}","{'entity_group': 'LOC', 'score': 0.99999666, 'word': 'France', 'start': 53, 'end': 59}",,,,,,,,,,
"Department of Pediatrics, Weill Cornell Medicine and New York-Presbyterian Hospital, New York, New York. Electronic address: oma9005@med.cornell.edu.","{'entity_group': 'ORG', 'score': 0.99961364, 'word': 'Department of Pediatrics', 'start': 0, 'end': 24}","{'entity_group': 'ORG', 'score': 0.9926107, 'word': 'Weill Cornell', 'start': 26, 'end': 39}","{'entity_group': 'LOC', 'score': 0.5266174, 'word': 'Medicine', 'start': 40, 'end': 48}","{'entity_group': 'ORG', 'score': 0.7500598, 'word': 'and', 'start': 49, 'end': 52}","{'entity_group': 'LOC', 'score': 0.99769455, 'word': 'New York-Presbyterian Hospital', 'start': 53, 'end': 83}","{'entity_group': 'LOC', 'score': 0.999989, 'word': 'New York', 'start': 85, 'end': 93}","{'entity_group': 'LOC', 'score': 0.99997646, 'word': 'New York', 'start': 95, 'end': 103}","{'entity_group': 'ORG', 'score': 0.97539383, 'word': 'cornell', 'start': 137, 'end': 144}","{'entity_group': 'ORG', 'score': 0.7134513, 'word': 'edu', 'start': 145, 'end': 148}",,,,,,
"Duke University Clinical Microbiology Laboratory, Durham, North Carolina, USA.","{'entity_group': 'ORG', 'score': 0.9963298, 'word': 'Duke University Clinical Microbiology Laboratory', 'start': 0, 'end': 48}","{'entity_group': 'LOC', 'score': 0.99996436, 'word': 'Durham', 'start': 50, 'end': 56}","{'entity_group': 'LOC', 'score': 0.99998486, 'word': 'North Carolina', 'start': 58, 'end': 72}","{'entity_group': 'LOC', 'score': 0.999962, 'word': 'USA', 'start': 74, 'end': 77}",,,,,,,,,,,
"Department of Epidemiology, Columbia University Mailman School of Public Health, New York, NY","{'entity_group': 'ORG', 'score': 0.6931216, 'word': 'Department of Epidemiology', 'start': 0, 'end': 26}","{'entity_group': 'ORG', 'score': 0.998995, 'word': 'Columbia University', 'start': 28, 'end': 47}","{'entity_group': 'LOC', 'score': 0.6431511, 'word': 'man School', 'start': 52, 'end': 62}","{'entity_group': 'LOC', 'score': 0.99998415, 'word': 'New York', 'start': 81, 'end': 89}","{'entity_group': 'LOC', 'score': 0.99954873, 'word': 'NY', 'start': 91, 'end': 93}",,,,,,,,,,
"Maze Therapeutics, South San Francisco, California.","{'entity_group': 'ORG', 'score': 0.99997205, 'word': 'Maze Therapeutics', 'start': 0, 'end': 17}","{'entity_group': 'LOC', 'score': 0.99986666, 'word': 'South San Francisco', 'start': 19, 'end': 38}","{'entity_group': 'LOC', 'score': 0.99998987, 'word': 'California', 'start': 40, 'end': 50}","{'entity_group': 'ORG', 'score': 0.9178853, 'word': '.', 'start': 50, 'end': 51}",,,,,,,,,,,
"Department of Medicine, University of California San Francisco and the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, California.","{'entity_group': 'ORG', 'score': 0.99979395, 'word': 'Department of Medicine', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99995136, 'word': 'University of California San Francisco', 'start': 24, 'end': 62}","{'entity_group': 'PER', 'score': 0.99907905, 'word': 'Priscilla Chan', 'start': 71, 'end': 85}","{'entity_group': 'PER', 'score': 0.95876485, 'word': 'Mark Zuckerberg', 'start': 90, 'end': 105}","{'entity_group': 'LOC', 'score': 0.99921775, 'word': 'San Francisco General Hospital', 'start': 106, 'end': 136}","{'entity_group': 'LOC', 'score': 0.999988, 'word': 'San Francisco', 'start': 138, 'end': 151}","{'entity_group': 'LOC', 'score': 0.99998915, 'word': 'California', 'start': 153, 'end': 163}",,,,,,,,
"Department of Hepatology, Institute of Liver Disease, HPB Surgery and Transplant, Global Hospitals, Mumbai, India.","{'entity_group': 'ORG', 'score': 0.99764717, 'word': 'Department of Hepatology', 'start': 0, 'end': 24}","{'entity_group': 'ORG', 'score': 0.9995793, 'word': 'Institute of Liver Disease, HPB Surgery and Transplant', 'start': 26, 'end': 80}","{'entity_group': 'ORG', 'score': 0.9937255, 'word': 'Global Hospitals', 'start': 82, 'end': 98}","{'entity_group': 'LOC', 'score': 0.9999596, 'word': 'Mumbai', 'start': 100, 'end': 106}","{'entity_group': 'LOC', 'score': 0.9999918, 'word': 'India', 'start': 108, 'end': 113}","{'entity_group': 'ORG', 'score': 0.8360529, 'word': '.', 'start': 113, 'end': 114}",,,,,,,,,
"Geriatric Research and Education Clinical Center, VA Palo Alto Health Care Systems, Palo Alto, California.","{'entity_group': 'ORG', 'score': 0.98940945, 'word': 'Geriatric Research and Education Clinical Center', 'start': 0, 'end': 48}","{'entity_group': 'ORG', 'score': 0.84850377, 'word': 'VA Palo Alto Health Care Systems', 'start': 50, 'end': 82}","{'entity_group': 'LOC', 'score': 0.9999818, 'word': 'Palo Alto', 'start': 84, 'end': 93}","{'entity_group': 'LOC', 'score': 0.99999, 'word': 'California', 'start': 95, 'end': 105}",,,,,,,,,,,
"Unit of Infectious Diseases, ""12 de Octubre"" University Hospital, Instituto de Investigación Hospital ""12 de Octubre"" (imas12), Universidad Complutense, Madrid, Spain.","{'entity_group': 'ORG', 'score': 0.8890511, 'word': 'Unit of Infectious Diseases', 'start': 0, 'end': 27}","{'entity_group': 'LOC', 'score': 0.87868625, 'word': '12 de Octubre', 'start': 30, 'end': 43}","{'entity_group': 'LOC', 'score': 0.9858178, 'word': 'University Hospital', 'start': 45, 'end': 64}","{'entity_group': 'ORG', 'score': 0.9231784, 'word': 'Instituto de Investigación Hospital ""12 de Octubre', 'start': 66, 'end': 116}","{'entity_group': 'ORG', 'score': 0.9943929, 'word': 'imas12)', 'start': 119, 'end': 126}","{'entity_group': 'ORG', 'score': 0.9998638, 'word': 'Universidad Complutense', 'start': 128, 'end': 151}","{'entity_group': 'LOC', 'score': 0.9999683, 'word': 'Madrid', 'start': 153, 'end': 159}","{'entity_group': 'LOC', 'score': 0.999995, 'word': 'Spain', 'start': 161, 'end': 166}",,,,,,,
"Schulich School of Medicine and Dentistry, Western University, London, Ontario, Canada.","{'entity_group': 'ORG', 'score': 0.847203, 'word': 'Schulich School of Medicine and Dentistry', 'start': 0, 'end': 41}","{'entity_group': 'ORG', 'score': 0.9976835, 'word': 'Western University', 'start': 43, 'end': 61}","{'entity_group': 'LOC', 'score': 0.99997854, 'word': 'London', 'start': 63, 'end': 69}","{'entity_group': 'LOC', 'score': 0.9999838, 'word': 'Ontario', 'start': 71, 'end': 78}","{'entity_group': 'LOC', 'score': 0.99999404, 'word': 'Canada', 'start': 80, 'end': 86}",,,,,,,,,,
"Critical Path Institute, Tucson, Arizona, USA.","{'entity_group': 'ORG', 'score': 0.99999523, 'word': 'Critical Path Institute', 'start': 0, 'end': 23}","{'entity_group': 'LOC', 'score': 0.99999475, 'word': 'Tucson', 'start': 25, 'end': 31}","{'entity_group': 'LOC', 'score': 0.99999464, 'word': 'Arizona', 'start': 33, 'end': 40}","{'entity_group': 'LOC', 'score': 0.99999046, 'word': 'USA', 'start': 42, 'end': 45}",,,,,,,,,,,
"Department of Laboratory Medicine, University Hospitals Leuven, Leuven, Belgium.","{'entity_group': 'ORG', 'score': 0.91842705, 'word': 'Department of Laboratory Medicine', 'start': 0, 'end': 33}","{'entity_group': 'ORG', 'score': 0.92451525, 'word': 'University Hospitals Leuven', 'start': 35, 'end': 62}","{'entity_group': 'LOC', 'score': 0.99998873, 'word': 'Leuven', 'start': 64, 'end': 70}","{'entity_group': 'LOC', 'score': 0.9999926, 'word': 'Belgium', 'start': 72, 'end': 79}",,,,,,,,,,,
"Department of Biomedical and Neuromotor Sciences, Department of Experimental, Diagnostic and Specialty Medicine (DIMES), University of Bologna, Bologna.","{'entity_group': 'ORG', 'score': 0.99981546, 'word': 'Department of Biomedical and Neuromotor Sciences', 'start': 0, 'end': 48}","{'entity_group': 'ORG', 'score': 0.99871844, 'word': 'Department of Experimental, Diagnostic and Specialty Medicine', 'start': 50, 'end': 111}","{'entity_group': 'ORG', 'score': 0.9999107, 'word': 'DIMES', 'start': 113, 'end': 118}","{'entity_group': 'ORG', 'score': 0.9999077, 'word': 'University of Bologna', 'start': 121, 'end': 142}","{'entity_group': 'LOC', 'score': 0.99816656, 'word': 'Bologna', 'start': 144, 'end': 151}",,,,,,,,,,
"Department of Cardiothoracic and Vascular Surgery, Deutsches Herzzentrum der Charité (DHZC), Berlin, Germany.","{'entity_group': 'ORG', 'score': 0.9174267, 'word': 'Department of Cardiot', 'start': 0, 'end': 21}","{'entity_group': 'ORG', 'score': 0.7171858, 'word': 'cic and Vascular Surgery', 'start': 25, 'end': 49}","{'entity_group': 'ORG', 'score': 0.9850393, 'word': 'Deutsches Herzzentrum der Charité', 'start': 51, 'end': 84}","{'entity_group': 'ORG', 'score': 0.9984606, 'word': 'DHZC', 'start': 86, 'end': 90}","{'entity_group': 'LOC', 'score': 0.99997497, 'word': 'Berlin', 'start': 93, 'end': 99}","{'entity_group': 'LOC', 'score': 0.99999475, 'word': 'Germany', 'start': 101, 'end': 108}",,,,,,,,,
"Department of Nephrology, Copenhagen University Hospital Rigshospitalet, Copenhagen, Denmark.","{'entity_group': 'ORG', 'score': 0.8638266, 'word': 'Department of Nephrology', 'start': 0, 'end': 24}","{'entity_group': 'LOC', 'score': 0.98941416, 'word': 'Copenhagen University Hospital Rigshospitalet', 'start': 26, 'end': 71}","{'entity_group': 'LOC', 'score': 0.9999962, 'word': 'Copenhagen', 'start': 73, 'end': 83}","{'entity_group': 'LOC', 'score': 0.99999523, 'word': 'Denmark', 'start': 85, 'end': 92}",,,,,,,,,,,
"Departments of Medicine, of Epidemiology and Population Health, of Biomedical Data Science, and of Statistics and Meta-Research Innovation Center at Stanford (METRICS), Stanford University, Stanford, California.","{'entity_group': 'ORG', 'score': 0.9998876, 'word': 'Department', 'start': 0, 'end': 10}","{'entity_group': 'ORG', 'score': 0.97694397, 'word': 'of Medicine, of Epidemiology and Population Health, of Biomedical Data Science,', 'start': 12, 'end': 91}","{'entity_group': 'ORG', 'score': 0.9999764, 'word': 'Statistics and Meta-Research Innovation Center at Stanford', 'start': 99, 'end': 157}","{'entity_group': 'ORG', 'score': 0.9999854, 'word': 'METRICS', 'start': 159, 'end': 166}","{'entity_group': 'ORG', 'score': 0.99995106, 'word': 'Stanford University', 'start': 169, 'end': 188}","{'entity_group': 'LOC', 'score': 0.8947105, 'word': 'Stanford', 'start': 190, 'end': 198}","{'entity_group': 'LOC', 'score': 0.9999794, 'word': 'California', 'start': 200, 'end': 210}","{'entity_group': 'ORG', 'score': 0.9996463, 'word': '.', 'start': 210, 'end': 211}",,,,,,,
"Glasgow Renal and Transplant Unit, Queen Elizabeth University Hospital Glasgow Scotland, United Kingdom.","{'entity_group': 'LOC', 'score': 0.85023457, 'word': 'Glasgow', 'start': 0, 'end': 7}","{'entity_group': 'ORG', 'score': 0.9340729, 'word': 'Renal and Transplant Unit', 'start': 8, 'end': 33}","{'entity_group': 'LOC', 'score': 0.99980307, 'word': 'Queen Elizabeth University Hospital Glasgow Scotland', 'start': 35, 'end': 87}","{'entity_group': 'LOC', 'score': 0.99999535, 'word': 'United Kingdom', 'start': 89, 'end': 103}",,,,,,,,,,,
