,Unnamed: 0,ORG_SET,LOC_SET
1171,"Department of Medicine, School of Medicine, University of Maryland, Baltimore, Maryland.","{'Department of Medicine', 'University of Maryland', 'School of Medicine'}","{'Maryland', 'Baltimore'}"
1172,Colorado Department of Public Health & Environment.,{'Colorado Department of Public Health & Environment.'},set()
1173,"Genotyping and Genetic Diagnosis Unit, School of Medicine, University of Valencia, Valencia, Spain.","{'University of Valencia', 'Genotyping and Genetic Diagnosis Unit', 'School of Medicine'}","{'Valencia', 'Spain'}"
1174,"Department of Clinical Pharmacology, Medical University of Vienna, Vienna, Austria.","{'Medical University of Vienna', 'Department of Clinical Pharmacology'}","{'Vienna', 'Austria'}"
1175,"Department of Pediatrics, Faculty of Medical Science in Zabrze, Medical University of Silesia, Katowice, Poland.","{'Faculty of Medical Science in Zabrze', 'Department of Pediatrics', 'Medical University of Silesia'}","{'Poland', 'Katowice'}"
1176,"Division of Cardiovascular Medicine, Vanderbilt University Medical Center, Nashville, Tennessee, USA",set(),"{'Nashville', 'Tennessee', 'Vanderbilt University Medical Center', 'USA'}"
1177,"Department of Anesthesiology, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, People's Republic of China. Electronic address: fuwaiys@126.com.","{'ys', 'National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences', 'Peking Union Medical College', 'Department of Anesthesiology'}","{'Beijing', 'Fuwai Hospital', ""People's Republic of China""}"
1178,"Department of Medicine, Duke University Medical Center, Durham, North Carolina.",{'Department of Medicine'},"{'North Carolina', 'Durham', 'Duke University Medical Center'}"
1179,"Pathology & Cell Biology, Columbia University Irving Medical Center, New York, USA.","{'Bi', 'Columbia University'}","{'Irving Medical Center', 'New York', 'USA'}"
1180,"Department of Pediatrics, Division of Nephrology, University of Michigan, Ann Arbor, MI, 48104, USA.","{'Division of Nephrology', 'Department of Pediatrics', 'University of Michigan'}","{'MI', 'Ann Arbor', 'USA'}"
1181,"Department of Plastic and Reconstructive Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.","{'Department of Plastic and Reconstructive Surgery', 'Johns Hopkins University School of Medicine'}","{'Maryland', 'USA', 'Baltimore'}"
1182,"Division of Kidney, Urologic, and Hematologic Diseases, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, Maryland.","{'National Institute of Diabetes and Digestive and Kidney Diseases', 'National Institutes of Health', 'Division of Kidney, Urologic, and Hematologic Diseases'}","{'Maryland', 'Bethesda'}"
1183,"Department of Surgery, University of Maryland, Baltimore, Maryland.","{'University of Maryland', 'Department of Surgery'}","{'Maryland', 'Baltimore'}"
1184,"Division of Nephrology, Tufts Medical Center, Tufts University School of Medicine, Boston, Massachusetts. Electronic address: rperrone@tuftsmedicalcenter.org.",{'Division of Nephrology'},"{'Massachusetts', 'tufts', 'Tufts Medical Center', 'center', 'Tufts University School of Medicine', 'Boston'}"
1185,"Population Health Research Institute, Hamilton",{'Population Health Research Institute'},{'Hamilton'}
1186,"Division of Endocrinology & Metabolism, Department of Medicine, The University of Hong Kong, Hong Kong SAR, China.","{'Department of Medicine', 'The University of Hong Kong', 'Division of Endocrinology & Metabolism'}","{'Hong Kong SAR', 'China'}"
1187,"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio.","{'Department of Quantitative Health Sciences', 'Cleveland Clinic'}","{'Cleveland', 'Ohio'}"
1188,"Renal-Electrolyte Division, Department of Medicine, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania.","{'Renal-Electrolyte Division', 'Department of Medicine', 'University of Pittsburgh School of Medicine'}","{'Pittsburgh', 'Pennsylvania'}"
1189,"Division of Nephrology, Rush University Medical Center, Chicago, Illinois.","{'Nephrology', 'Division'}","{'Rush University Medical Center', 'Illinois', 'Chicago'}"
1190,"Department of Medicine, Division of Nephrology, Tufts University, Boston, Massachusetts.","{'Department of Medicine', 'Tufts University', 'Division of Nephrology'}","{'Boston', 'Massachusetts'}"
1191,"Department of Nephrology, Dialysis and Transplantation, Erasme Hospital, Université libre de Bruxelles (ULB), Brussels, Belgium.","{'ULB', 'Department of Nephrology, Dialysis and Transplantation', 'Université libre de Bruxelles'}","{'Brussels', 'Erasme Hospital', 'Belgium'}"
1192,"Division of Nephrology, University of Illinois at Chicago, Chicago, Illinois.","{'Division of Nephrology', 'University of Illinois at Chicago'}","{'Illinois', 'Chicago'}"
1193,"Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Republic of Korea.","{'Department of Internal Medicine', 'Yonsei University College of Medicine'}","{'Republic of Korea', 'Seoul'}"
1194,"Universitätsklinik für Kinder- und Jugendheilkunde, Medizinische Universität Wien, Vienna, Austria.","{'Universitätsklinik für Kinder- und Jugendheilkunde', 'Medizinische Universität Wien'}","{'Vienna', 'Austria'}"
1195,"Mouse Behavior Core, Department of Genetics, Harvard Medical School, Boston, Massachusetts, USA.","{'Mouse Behavior Core', 'Harvard Medical School', 'Department of Genetics'}","{'Boston', 'Massachusetts', 'USA'}"
1196,"Department of Transplant,Mayo Clinic Florida,Jacksonville,Florida,USA. Electronic address: croome.kristopher@mayo.edu.","{'mayo', 'edu', 'Department of Transplant', 'Mayo Clinic Florida'}","{'Jacksonville', 'Florida', 'USA'}"
1197,"Department of Pharmaceutical Technology and Biopharmacy, University of Groningen, Groningen, The Netherlands.","{'Department of Pharmaceutical Technology and Biopharmacy', 'University of Groningen'}","{'The Netherlands', 'Groningen'}"
1198,"Division of Research, Kaiser Permanente Northern California, Oakland, California","{'Division', 'Kaiser Permanente Northern California', 'Research'}","{'California', 'Oakland'}"
1199,"Department of Pediatrics and Medicine, University of Minnesota, Minneapolis, Massachusetts.","{'University of Minnesota', 'Department of Pediatrics and Medicine'}","{'Minneapolis', 'Massachusetts'}"
1200,"Division of High-Consequence Pathogens and Pathology, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, Georgia, USA.","{'Centers for Disease Control and Prevention', 'us Diseases', 'National Center for Emerging and Zoonotic Infec', 'Division of', 's and Pathology'}","{'Atlanta', 'Georgia', 'USA'}"
1201,"Cardiology Division, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts.",set(),"{'Harvard Medical School', 'Boston', 'Massachusetts General Hospital', 'Massachusetts'}"
1202,"Department of Nephrology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine.","{'Nephrology', 'Zhejiang University'}","{'School of Medicine', 'Sir Run Run Shaw Hospital'}"
1203,"Department of Nephrology, BGS Global Hospital, Bengaluru, Karnataka, India.",{'Nephr'},"{'India', 'Bengaluru', 'Karnataka', 'BGS Global Hospital'}"
1204,"Institute of Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada. Electronic address: pp.piche-renaud@sickkids.ca.","{'University of Toronto', 'sickkids.ca.', 'Institute of Health Policy, Management and Evaluation'}","{'Ontario', 'Canada', 'Toronto'}"
1205,"Department of Immunology, Genetics and Pathology, Section of Clinical Immunology, Uppsala University, Sweden.","{'Section of Clinical Immunology', 'Uppsala University', 'Department of Immunology, Genetics and Pathology'}",{'Sweden'}
1206,"Department of Surgery/Transplant, Yale University School of Medicine, New Haven, CT.","{'Yale University School of Medicine', 'Department of Surgery/Transplant'}","{'New Haven', 'CT'}"
1207,"Center for Precision Medicine and Genomics, Department of Medicine, Columbia University, New York City, New York, USA.","{'Department of Medicine', 'Columbia University', 'Center for Precision Medicine and Genomics'}","{'New York', 'USA', 'New York City'}"
1208,"Division of Pulmonary, Allergy and Critical Care Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA.","{'University of Pennsylvania', 'Division of Pulmonary, Allergy and Critical Care Medicine'}","{'Philadelphia', 'Pennsylvania', 'USA'}"
1209,"Department of Biomedical Sciences, Virology Unit, Institute of Tropical Medicine, Antwerp, Belgium.","{'Institute of Tropical Medicine', 'Virology Unit', 'Department of Biomedical Sciences'}","{'Antwerp', 'Belgium'}"
1210,"School of Medicine, University of Colorado, Aurora, Colorado.","{'School of Medicine', 'University of Colorado'}","{'Colorado', 'Aurora'}"
1211,"Department of Medicine, Stanford Center for Clinical Research, Palo Alto, CA.","{'Department of Medicine', 'Stanford Center for Clinical Research'}","{'CA', 'Palo Alto'}"
1212,"Department of Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.","{'Johns Hopkins University', 'Department of Surgery'}","{'Maryland', 'School of Medicine', 'USA', 'Baltimore'}"
1213,"Department of Plastic and Reconstructive Surgery, Morsani College of Medicine, University of South Florida, Tampa, Florida, USA.","{'Department of Plastic and Reconstructive Surgery', 'Morsani College of Medicine', 'University of South Florida'}","{'Florida', 'Tampa', 'USA'}"
1214,"UMR 0892, Université Versailles-Saint-Quentin-en-Yvelines, Versailles, France",{'Université Versailles-Saint-Quentin-en-Yvelines'},"{'France', 'Versailles'}"
1215,"University of Toronto, Toronto, Ontario, Canada.",{'University of Toronto'},"{'Ontario', 'Canada', 'Toronto'}"
1216,"Department of Clinical Pharmacy and Pharmacology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.","{'University of Groningen', 'Department of Clinical Pharmacy and Pharmacology', 'University Medical Center Groningen'}","{'The Netherlands', 'Groningen'}"
1217,"Graduate Institute of Clinical Medical Sciences, College of Medicine, Chang Gung University, Taoyuan, Taiwan.","{'Graduate Institute of Clinical Medical Sciences', 'College of Medicine', 'Chang Gung University'}","{'Taiwan', 'Taoyuan'}"
1218,"Department of Surgery, University of Pisa, Pisa, The province of Pisa, Italy.","{'Department of Surgery', 'University of Pisa'}","{'Pisa', 'Italy'}"
1219,"Division of Nephrology, RWTH Aachen University, Aachen, Germany.","{'Division of Nephrology', 'RWTH Aachen University'}","{'Germany', 'Aachen'}"
1220,"Veterans Affairs Health Services Research and Development Center for Innovations in Quality, Effectiveness and Safety, Houston, Texas.","{'Veterans Affairs Health Services Research and Development Center for Innovations in Quality, Effectiveness and Safety'}","{'Houston', 'Texas'}"
1221,"Department of Nephrology, Sir Ganga Ram Hospital, Delhi, India.",{'Nephr'},"{'Sir Ganga Ram Hospital', 'Delhi', 'India'}"
1222,"Public Health Division, Oregon Health Authority.","{'Oregon Health Authority', 'Public Health Division'}",set()
1223,"Division of Infectious Diseases, University of California, San Francisco, California, USA.","{'University of California', 'Division of Infectious Diseases'}","{'California', 'San Francisco', 'USA'}"
1224,"Valley Children's Healthcare, Madera, California.","{""Valley Children's Healthcare""}","{'Madera', 'California'}"
1225,IIS-Fundación Jimenez Diaz,{'IIS-Fundación Jimenez Diaz'},set()
1226,"Division of Renal Diseases and Hypertension, George Washington University, Washington, DC.","{'George Washington University', 'Division of Renal Diseases and Hypertension'}","{'Washington, DC'}"
1227,"Section of Cardiovascular Research, Department of Medicine, Baylor College of Medicine, Houston, Texas","{'Department of Medicine', 'Baylor College of Medicine', 'Section of Cardiovascular Research'}","{'Houston', 'Texas'}"
1228,"Department of Surgery, Thomas E. Starzl Transplantation Institute, University of Pittsburgh, Pittsburgh, Pennsylvania.","{'University of Pittsburgh', 'Department of Surgery', 'Thomas E. Starzl Transplantation Institute'}","{'Pittsburgh', 'Pennsylvania'}"
1229,"Division of Nephrology, Nanfang Hospital, Southern Medical University, Guangzhou, China.","{'Nephrology', 'Division'}","{'Guangzhou', 'Nanfang Hospital', 'China', 'Southern Medical University'}"
1230,"National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University.","{'State Key Laboratory of Organ Failure Research', 'Southern Medical University.', 'National Clinical Research Center for Kidney Disease'}",{'Nanfang Hospital'}
1231,"Department of Nephrology, Princess Alexandra Hospital, Woolloongabba, Queensland",{'Nephrology'},"{'Princess Alexandra Hospital', 'Woolloongabba', 'Queensland'}"
1232,"Department of Internal Medicine, University Medical Center Groningen, Groningen, The Netherlands.",{'Department of Internal Medicine'},"{'University Medical Center Groningen', 'The Netherlands', 'Groningen'}"
1233,"University of Maryland Medical Center, Baltimore, Maryland, USA. Electronic address: mary.lin@som.umaryland.edu.","{'umaryland.edu', 'University of Maryland', 'som'}","{'Maryland', 'Medical Center', 'USA', 'Baltimore'}"
1234,"Department of Nephrology, Imelda Hospital, Bonheiden, Belgium.",{'Nephr'},"{'Bonheiden', 'Belgium', 'Imelda Hospital'}"
1235,"Geriatric Research and Education Clinical Center, Palo Alto VA Health Care System, Palo Alto, California.",{'Geriatric Research and Education Clinical Center'},"{'California', 'Palo Alto', 'Palo Alto VA Health Care System'}"
1236,"Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, People's Republic of China.",{'Shanghai Jiao Tong University'},"{'Shanghai', ""People's Republic of China"", 'Renji Hospital', 'School', 'Medicine'}"
1237,"School of Biological Sciences, The University of Hong Kong, Hong Kong.","{'The University of Hong Kong', 'School of Biological Sciences'}",{'Hong Kong'}
1238,"Brown and Toland, Oakland, California.",{'Brown and Toland'},"{'California', 'Oakland'}"
1239,"Department of Pediatrics, School of Medicine, Emory University, Atlanta, Georgia","{'School of Medicine', 'Department of Pediatrics', 'Emory University'}","{'Atlanta', 'Georgia'}"
1240,"National and Kapodistrian University of Athens, School of Medicine, Department of Cardiology, Attikon University Hospital, Athens, Greece.","{'National and Kapodistrian University of Athens', 'School of Medicine', 'Cardiology'}","{'Attikon University Hospital', 'Greece', 'Athens'}"
1241,"Department of Radiology, Mayo Clinic, Rochester, Minnesota.","{'Department of Radiology', 'Mayo Clinic'}","{'Minnesota', 'Rochester'}"
1242,"Department of Nephrology, Foch Hospital, Suresnes, France.",{'Department of Nephrology'},"{'France', 'Foch Hospital', 'Suresnes'}"
1243,"Pomeranian Medical University of Szczecin, Szczecin, Poland.",{'Pomeranian Medical University of Szczecin'},"{'Poland', 'Szczecin'}"
1244,"Department of Cardiac, Thoracic and Vascular Sciences, and Public Health, University of Padova, Padua Italy.","{'University of Padova', 'Department of Cardiac, Thoracic and Vascular Sciences, and Public Health', 'Padu'}",{'a Italy'}
1245,"Department of Population Health, New York University Grossman School of Medicine, New York, New York, USA.","{'School of', 'Department of Population Health', 'New York University Gross'}","{'New York', 'USA', 'man', 'Medicine'}"
1246,"Division of Nephrology, Department of Medicine, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA. Electronic address: blm@medicine.wisc.edu.","{'Department of Medicine', 'Division of Nephrology', 'wisc', 'bl', 'University of Wisconsin School of Medicine and Public Health', 'edu'}","{'Madison', 'Wisconsin', 'USA'}"
1247,"Aix-Marseille Université - AP-HM - Hôpital Conception - Centre de Néphrologie et Transplantation Rénale. Marseille, France.","{'ologie et Transplantation Rénale', 'AP-HM', 'Centre de Nép', 'Aix-Marseille Université'}","{'Conception', 'France', 'Marseille'}"
1248,"Department of Nephrology, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.","{'Nephrology', 'Guangdong Academy of Medical Sciences', 'Department'}","{'Guangzhou', 'China', ""Guangdong Provincial People's Hospital""}"
1249,"Division of Clinical Geriatrics, Department of Neurobiology, Care Sciences and Society, Karolinska Institutet, Stockholm, Sweden.","{'Division of Clinical Geriatrics', 'Department of Neurobiology, Care Sciences and Society', 'Karolinska Institutet'}","{'Sweden', 'Stockholm'}"
1250,"Department of Clinical Pharmacy, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China.",{'Zhejiang University School of Medicine'},"{'First Affiliate', 'Hospital', 'Hangzhou', 'China'}"
1251,"Center for Health Services and Outcomes Research, Feinberg School of Medicine, Northwestern University, Chicago, Illinois","{'Center for Health Services and Outcomes Research', ',', 'Northwestern University'}","{'Illinois', 'Feinberg School of Medicine', 'Chicago'}"
1252,"INSERM UMRS 1138, Cordelier Research Center, Paris",{'INSERM'},"{'Cordelier Research Center', 'Paris'}"
1253,"Department of Medicine and Pediatrics, Women's College Hospital, Hospital for Sick Children and University of Toronto, Toronto, Ontario, M5S 1B2, Canada.","{'Department of Medicine and Pediatrics', 'University of'}","{'Canada', 'Hospital for Sick Children', ""Women's College Hospital"", 'Ontario', 'Toronto'}"
1254,"Department of Pulmonary Medicine, Cleveland Clinic, Cleveland, Ohio, USA.","{'Cleveland Clinic', 'Department of Pulmonary Medicine'}","{'Cleveland', 'Ohio', 'USA'}"
1255,"Vector Psychometric Group, LLC, Chicago, Illinois.","{'Vector Psychometric Group, LLC'}","{'Illinois', 'Chicago'}"
1256,"Division of Nephrology, Department of Medicine, Johns Hopkins University, Baltimore, Maryland.","{'Division of Nephrology', 'Johns Hopkins University', 'Department of Medicine'}","{'Maryland', 'Baltimore'}"
1257,"School of Clinical Sciences at Monash Health, Monash University, Clayton, Victoria, Australia.","{'School of Clinical Sciences', 'Monash Health', 'Monash University'}","{'Clayton', 'Victoria', 'Australia'}"
1258,"Department of Medicine, University of California-San Francisco, San Francisco, California.","{'Department of Medicine', 'University of California-San Francisco'}","{'California', 'San Francisco'}"
1259,"Department of Plastic and Reconstructive Surgery, Cliniques Universitaires Saint-Luc, Brussels, Belgium.","{'Cliniques Universitaires Saint-Luc', 'Department of Plastic and Reconstructive Surgery'}","{'Brussels', 'Belgium'}"
1260,"Department of Human Genetics, Emory University School of Medicine, Atlanta, Georgia.","{'Emory University School of Medicine', 'Department of Human Genetics'}","{'Atlanta', 'Georgia'}"
1261,"Department of Medicine, Division of Nephrology, New York University School of Medicine, NYU Langone Health, New York, New York.","{'Department of Medicine', 'New York University School of Medicine', 'Division of Nephrology', 'NYU'}","{'New York', 'Langone Health'}"
1262,"Department of Clinical Pharmacology and Pharmacoepidemiology, Heidelberg University Hospital, Heidelberg, Germany.",{'Department of Clinical Pharmacology and Pharmacoepidemiology'},"{'Germany', 'Heidelberg University Hospital', 'Heidelberg'}"
1263,"Division of Renal Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston Massachusetts.",{'Division of Renal Medicine'},"{'Harvard Medical School', 'Boston', 'Massachusetts', ""Brigham and Women's Hospital""}"
1264,"NewYork-Presbyterian Hospital, New York, New York.",set(),"{'New York', 'New York.', 'NewYork-Presbyterian Hospital'}"
1265,"Davita, Inc., Denver, Colorado.","{'Davita, Inc.'}","{'Colorado', 'Denver'}"
1266,"Department of Pathology and Immunology, Baylor College of Medicine, Texas Children's Hospital, Houston, Texas, USA.",{'Department of Pathology and Immunology'},"{'USA', 'Baylor College of Medicine', 'Texas', ""Texas Children's Hospital"", 'Houston'}"
1267,"Department of Internal Medicine, College of Medicine, Seoul National University, Seoul, Korea.","{'Department of Internal Medicine', 'College of Medicine', 'Seoul National University'}","{'Korea', 'Seoul'}"
1268,"Intermountain Health, Murray, Utah.",{'Intermountain Health'},"{'Murray', 'Utah'}"
1269,"Department of Nephrology and Hypertension, Glickman Urological and Kidney Institute, Cleveland Clinic, Cleveland, Ohio.","{'Clinic', 'Glickman Urological and Kidney Institute', 'Department of Nephrology and Hypertension'}","{'Cleveland', 'Ohio'}"
1270,"Department of Transplantation and Liver Surgery, Helsinki University Hospital, Helsinki, Finland.",{'Department of Transplantation and Liver Surgery'},"{'Helsinki University Hospital', 'Finland', 'Helsinki'}"
1271,"Division of Organ Transplantation, Department of Surgery, University of Massachusetts, UMass Memorial Hospital, University of Massachusetts, Worcester, MA.","{'University of Massachusetts', 'Division of Organ Transplantation', 'Department of Surgery'}","{'UMass Memorial Hospital', 'MA', 'Worcester'}"
1272,Université de Paris,{'Université de Paris'},set()
1273,"Department of Surgery, University of Pittsburgh Medical Center Children's Hospital of Pittsburgh, Pittsburgh, PA.",{'University of Pittsburgh'},"{'Pittsburgh', 'PA', ""Medical Center Children's Hospital of Pittsburgh""}"
1274,"Department of Renal Medicine, Prince of Wales Hospital, New South Wales, Australia.",{'Department of Renal Medicine'},"{'Prince of Wales Hospital', 'New South Wales', 'Australia'}"
1275,"Department of Physiology and Hypertension and Renal Center, Tulane University, New Orleans, Louisiana, USA.","{'Department of Physiology and Hypertension and Renal Center', 'Tulane University'}","{'New Orleans', 'Louisiana', 'USA'}"
1276,"Division of Critical Care Medicine, Montreal Children's Hospital, McGill University Health Centre and Research Institute, McGill University, Montreal, Quebec.","{'McGill University', 'Research Institute', 'University'}","{""Montreal Children's Hospital"", 'Montreal', 'McGill', 'Quebec', 'Health Centre'}"
1277,"Division of Infectious Disease, Department of Pediatrics, Baylor College of Medicine, Texas Children's Hospital, Houston, Texas, USA.","{'Division of Infectious Disease', 'Department of Pediatrics'}","{'USA', 'Baylor College of Medicine', 'Texas', ""Texas Children's Hospital"", 'Houston'}"
1278,"Section of Nephrology, Department of Medicine, Yale School of Medicine, New Haven, Connecticut.","{'Section of Nephrology', 'Yale School of Medicine', 'Department of Medicine'}","{'Connecticut', 'New Haven'}"
1279,"Department of Pathology, Emory University School of Medicine, Atlanta, Georgia, USA.","{'Department of Pathology', 'Emory University School of'}","{'USA', 'Atlanta', 'Georgia', 'Medicine'}"
1280,"Center for Clinical Epidemiology and Biostatistics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.","{'Center for Clinical Epidemiology and Biostatistics', 'Perelman School of Medicine', 'University of Pennsylvania'}","{'Philadelphia', 'Pennsylvania'}"
1281,"Department of Pharmaceutical Care and Health Systems , University of Minnesota College of Pharmacy , Minneapolis , Minnesota.","{'Department of Pharmaceutical Care and Health Systems', 'University of Minnesota College of Pharmacy'}","{'Minneapolis', 'Minnesota'}"
1282,"Divisions of General Internal Medicine and Nephrology and Department of Population Health Science, School of Medicine, Duke University, Durham, North Carolina.","{'of General Internal Medicine and Nephrology', 'Division', 'School of Medicine', 'Duke University', 'Department of Population Health Science'}","{'North Carolina', 'Durham'}"
1283,"UNC Kidney Center, Division of Nephrology and Hypertension, Department of Medicine, School of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.","{'Department of Medicine', 'UNC Kidney Center', 'Division of Nephrology and Hypertension', 'School of Medicine', 'University of North Carolina at Chapel Hill'}","{'North Carolina', 'Chapel Hill'}"
1284,"Department of Medical Informatics and Statistics, Cliniques universitaires Saint-Luc, Brussels, Belgium.","{'Cliniques universitaires Saint-Luc', 'Department of Medical Informatics and Statistics'}","{'Brussels', 'Belgium'}"
1285,"Carlos Simon Foundation, Centro de Investigación Príncipe Felipe, Valencia, Spain.","{'Carlos Simon Foundation', 'Centro de Investigación Príncipe Felipe'}","{'Valencia', 'Spain'}"
1286,"Division of Transplantation, Department of Surgery, Medical College of Wisconsin, Milwaukee, WI.","{'Division of Transplantation', 'Department of Surgery', 'Medical College of Wisconsin'}","{'WI', 'Milwaukee'}"
1287,"Division of Nephrology, Nationwide Children's Hospital, Columbus, Ohio.","{'Nephrology', 'Division'}","{'Ohio', ""Nationwide Children's Hospital"", 'Columbus'}"
1288,"MacLean Center for Clinical Medical Ethics, University of Chicago, Chicago, Illinois, USA.","{'University of Chicago', 'MacLean Center for Clinical Medical Ethics'}","{'Illinois', 'USA', 'Chicago'}"
1289,"Department of Surgery, Division of General Surgery, University of Toronto, Toronto, Ontario, Canada.","{'Department of Surgery', 'Division of General Surgery', 'University of Toronto'}","{'Ontario', 'Canada', 'Toronto'}"
1290,"Department of Anesthesia and Intensive Care Medicine, Addenbrooke's Hospital, Cambridge, United Kingdom.",{'Department of Anesthesia and Intensive Care Medicine'},"{'Cambridge', ""Addenbrooke's Hospital"", 'United Kingdom'}"
1291,"Department of Dermatology, Vanderbilt University Medical Center, Nashville, Tennessee.","{'Dermatology', 'Department'}","{'Nashville', 'Tennessee', 'Vanderbilt University Medical Center'}"
1292,"Université de Paris, Cité, Institut national de la santé et de la recherche médicale, U970, PARCC, Paris Translational Research Centre for Organ Transplantation, Paris, France.","{'Institut national de la santé et de la recherche médicale', 'U970', 'Université de Paris, Cité', 'PARCC', 'Paris Translational Research Centre for Organ Transplantation'}","{'France', 'Paris'}"
1293,"Department of Surgery, University of Maryland School of Medicine, Baltimore, Maryland, USA.","{'University of Maryland School of Medicine', 'Department of Surger'}","{'Maryland', 'USA', 'Baltimore'}"
1294,"Belarus State Medical University, Minsk, Belarus.",{'Belarus State Medical University'},"{'Belarus', 'Minsk'}"
1295,"Department of Nephrology, Graduate School of Medicine, Osaka University, Osaka, Japan.","{'Department of Nephrology', 'Osaka University', 'Graduate School of Medicine'}","{'Japan', 'Osaka'}"
1296,"Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",{'Department of Medicine'},"{'Nashville', 'Tennessee', 'Vanderbilt University Medical Center', 'USA'}"
1297,"Steno Diabetes Center Copenhagen and the Department of Clinical Medicine, University of Copenhagen, Copenhagen, Denmark.","{'University of Copenhagen', 'Department of Clinical Medicine', 'Steno Diabetes Center Copenhagen'}","{'Copenhagen', 'Denmark'}"
1298,"Charité-Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Institut für Translatationale Physiologie, Berlin, Germany.","{'Freie Universität Berlin', 'Humboldt-Universität zu Berlin', 'Institut für Translatationale Physiologie', 'Charité-Universitätsmedizin Berlin'}","{'Germany', 'Berlin'}"
1299,"Medical Director Department, Dasa, Barueri, Brazil.",{'Dasa'},"{'Brazil', 'Barueri'}"
1300,"Department of Medicine, Johns Hopkins, Baltimore, Maryland.","{'Department of Medicine', 'Johns Hopkins'}","{'Maryland', 'Baltimore'}"
1301,"Nephrology department, SINRA, Hôpital Tenon. Paris, France.",{'SINRA'},"{'Hôpital Tenon', 'Paris', 'France'}"
1302,"Department of nephrology, dialysis and transplantation, University Hospital of Strasbourg, Strasbourg, Bas Rhin, France",set(),"{'France', 'Bas Rhin', 'Strasbourg', 'University Hospital of Strasbourg'}"
1303,"University of Bristol & Bristol Royal Hospital for Children, Bristol, United Kingdom.",{'University of Bristol'},"{'Bristol', 'Bristol Royal Hospital for Children', 'United Kingdom'}"
1304,"Division of Public Health Sciences, Department of Surgery, Washington University School of Medicine, St. Louis, Missouri, USA.","{'Washington University School of Medicine', 'Division of Public Health Sciences', 'Department of Surgery'}","{'Missouri', 'St. Louis', 'USA'}"
1305,"Department of Surgery, University of California San Diego, San Diego, California, USA.","{'Department of Surgery', 'University of California San Diego'}","{'California', 'San Diego', 'USA'}"
1306,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital, Boston, Massachusetts, USA","{'Department of Surgery', 'Center for Transplantation Sciences'}","{'Boston', 'Massachusetts General Hospital', 'Massachusetts', 'USA'}"
1307,"Department of Sociology, Western Washington University, Bellingham, Washington, USA.","{'Department of Sociology', 'Western Washington University'}","{'Bellingham', 'USA', 'Washington'}"
1308,"Department of Hepatobiliary Surgery, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: 1351619201@qq.com.","{'First Affiliate', 'of Chongqing Medical University', 'Department of Hepatobiliary Surgery'}","{'Chongqing', 'Hospital', ""People's Republic of China""}"
1309,"McGill University Health Centre Medical Libraries, Montreal, QC, Canada.",{'McGill University'},"{'QC', 'Canada', 'Montreal'}"
1310,"Department of Immunology, Duke University School of Medicine, Durham, North Carolina, USA.","{'Duke University School of Medicine', 'Department of Immunology'}","{'North Carolina', 'Durham', 'USA'}"
1311,"Jagiellonian University Medical College of Krakow, Krakow, Poland.",{'Jagiellonian University Medical College of Krakow'},"{'Poland', 'Krakow'}"
1312,"Section of Hepatobiliary Surgery and Liver Transplantation, Department of Surgery, University of Groningen, University Medical Center Groningen, Groningen, The Netherlands.","{'University of Groningen', 'Department of Surgery', 'Section of Hepatobiliary Surgery and Liver Transplantation'}","{'University Medical Center Groningen', 'The Netherlands', 'Groningen'}"
1313,"Department of Clinical Research, Copenhagen University Hospital Amager and Hvidovre, Hvidovre, Denmark",{'Department of Clinical Research'},"{'Hvidovre', 'Denmark', 'Copenhagen University Hospital Amager and Hvidovre'}"
