,aff,parent
1265,"Division of Cardiology, Department of Medicine, University of California, San Diego, La Jolla",University of California]US
1266,"Department of Pharmacy and Therapeutics, University of Pittsburgh School of Pharmacy, Pittsburgh, Pennsylvania.",University of Pittsburgh]US
1267,"Department of Biostatistics, Epidemiology and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA",University of Pennsylvania]US
1268,"Division of Nephrology, Department of Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
1269,"Biomedical Data Science, Geisel School of Medicine at Dartmouth, Hanover, New Hampshire.",Dartmouth College]US
1270,"Department of Health Sciences, School of Medicine, University of North Carolina-Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
1271,"Division of Nephrology and Hypertension, Kidney Center, Department of Medicine, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
1272,"Mayo Clinic College of Medicine, Rochester, Minnesota, USA.",Mayo Clinic]US
1273,"Behavioral Health, The Rogosin Institute, New York, New York.",Cornell University]US
1274,"Stanford University, Stanford, California, USA.",Stanford University]US
1275,"Departments of Medicine (Infectious Diseases and Geographic Medicine), and Epidemiology and Population Health, Stanford University, Stanford, California.",Stanford University]US
1276,"Department of Medicine, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois]US
1277,"Fresenius Kidney Care, Waltham, Massachusetts.",Fresenius Health]DE
1278,"Harrington Heart and Vascular Institute, University Hospitals Cleveland Medical Center and Case Western Reserve University, Cleveland, Ohio.",Case Western Reserve University]US
1279,"UT Dell Medical School, Austin, Texas, USA.",University of Texas]US
1280,"NextGen Precision Health,University of Missouri,Columbia,Missouri,USA. Electronic address: haval.shirwan@health.missouri.edu.",University of Missouri]US
1281,"Department of Pathology and Cell Biology, Columbia University Irving Medical Center, New York, NY.",Columbia University]US
1282,"Division of Nephrology and Hypertension, Department of Medicine, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
1283,"Division of Infectious Diseases, Department of Medicine, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
1284,"Department of Biochemistry and Molecular Biology, The University of Texas McGovern Medical School at Houston, Houston, Texas.",University of Texas]US
1285,"Feinberg School of Medicine, Department of Pediatrics, Northwestern University, Chicago, Illinois.",Northwestern Univerisity]US
1286,"Department of Pediatrics, Boston Children's Hospital, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
1287,"Department of Pharmacy, Columbia University Irving Medical Center",Columbia University]US
1288,"Division of Maternal-Fetal Medicine, Women's Health Service Line, Danville, Pennsylvania.",Women's Health Service Line]US
1289,"Office of Biostatistics Research, National Heart, Lung and Blood Institute, Bethesda, Maryland, USA.",National Institutes of Health]US
1290,"Nashville VA Medical Center, VA Tennessee Valley Healthcare System, Nashville, Tennessee.",VA Health Systems Research]US
1291,"Division of Nephrology, Department of Medicine, Columbia University Vagelos College of Physicians and Surgeons, New York, NY.",Columbia University]US
1292,"Herbert Wertheim School of Public Health and Human Longevity Science, UC San Diego, La Jolla, California.",University of California]US
1293,"Division of Transplantation and Advanced Hepatobiliary Surgery, University of Utah, Primary Children's Hospital, Salt Lake City, UT.",University of Utah]US
1294,"Yale School of Medicine, Department of Surgery, New Haven, Connecticut, USA. Electronic address: gregory.tietjen@yale.edu.",Yale University]US
1295,"Division of Abdominal Transplant, Department of Surgery, Duke University, Durham, NC, USA.",Duke University]US
1296,"Department of Transplant and Hepatobiliary Surgery, Henry Ford Health System, Detroit, Michigan, USA",Henry Ford Health]US
1297,"Department of Surgery, Stanford University School of Medicine, Palo Alto, California, USA",Stanford University]US
1298,"Division of Sleep and Circadian Disorders, Brigham and Women's Hospital, Boston, Massachusetts.",Harvard University]US
1299,"Division of Kidney Diseases and Hypertension, George Washington University School of Medicine, Washington, DC.",George Washington University]US
1300,"Dallas Nephrology Associates, Dallas, Texas.",Dallas Nephrology Associates]US
1301,"Departments of Medicine and Epidemiology and Population Health, Stanford University, Palo Alto, California.",Stanford University]US
1302,"UNC Kidney Center , Division of Nephrology and Hypertension , Department of Medicine , University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
1303,"Department of Pediatrics, Nationwide Children's Hospital, Columbus, Ohio.",Ohio State University]US
1304,"Department of Surgery, University of Colorado - Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
1305,"Department of Medicine, Icahn School of Medicine at Mount Sinai, New York, NY.",Mount Sinai]US
1306,"Department of Anesthesiology and Critical Care Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland. Electronic address: mehmann1@jhmi.edu.",Johns Hopkins University]US
1307,"Division of Cardiovascular Medicine, Beth Israel Deaconess Medical Center, Boston, Massachusetts.",Tufts University]US
1308,"Late Stage Development, Cardiovascular, Renal and Metabolism (CVRM), Biopharmaceuticals R&D, AstraZeneca, Gaithersburg, Maryland.",AstraZeneca Inc]GB
1309,"Department of Surgery, Division of Cardiac Surgery, Columbia University Irving Medical Center.",Columbia University]US
1310,"Biomedical Informatics and Data Science Section, Department of General Internal Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
1311,"Stanford Immunology, Stanford University School of Medicine, Palo Alto, California, USA. Electronic address: omm@stanford.edu.",Stanford University]US
1312,"Pritzker School of Medicine, University of Chicago, Chicago, Illinois, USA.",University of Chicago]US
1313,"Department of Surgery-Transplant Surgery, University of Colorado School of Medicine, Aurora, Colorado, USA.",University of Colorado]US
1314,"Division of Transplant, Department of Surgery, University of California, San Francisco, California, USA.",University of California]US
1315,"Clinical Epidemiology Center, Research and Development Service, VA St. Louis Health Care System, St. Louis, Missouri.",VA Health Systems Research]US
1316,"Division of Nephrology, Department of Medicine, University of Illinois Chicago, Chicago, Illinois.",University of Illinois]US
1317,"Department of Surgery, NYU Grossman School of Medicine, New York, New York.",New York University]US
1318,"Department of Surgery, Division of Transplantation, Emory University School of Medicine, Atlanta, Georgia, USA",Emory University]US
1319,"Department of Social Work, Stanford Health Care, Palo Alto, CA.",Stanford University]US
1320,"Vanderbilt Children's Hospital, Nashville, Tennessee.",Vanderbilt University]US
1321,"Welch Center for Prevention, Epidemiology and Clinical Research, Johns Hopkins University Baltimore, Maryland. Electronic address: nsriall1@jh.edu.",Johns Hopkins University]US
1322,"University of Pennsylvania Perelman School of Medicine, The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
1323,"Institute for Clinical Research and Health Policy Studies, Tufts Medical Center, Boston, Massachusetts",Tufts University]US
1324,"Arbor Research Collaborative for Health, Ann Arbor, Michigan.",University of Michigan]US
1325,"Department of Biostatistics, Columbia University, New York, New York.",Columbia University]US
1326,"Department of Medicine, Feinberg School of Medicine, Northwestern University, Chicago, Illinois. Electronic address: ggarg3@jhu.edu.",Northwestern Univerisity]US
1327,"Division of Abdominal Transplantation, Baylor University Medical Center, Dallas, Texas, USA.",Baylor University]US
1328,"Department of Internal Medicine, University of Texas at Austin Dell Medical School, Austin, Texas.",University of Texas]US
1329,"Division of Transplantation, Department of Surgery, Emory University School of Medicine, Atlanta, Georgia, USA.",Emory University]US
1330,"Department of Pediatrics, Division of Neonatology, Columbia University, New York, New York.",Columbia University]US
1331,"Mayo Clinic Proteomics Core, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
1332,"Department of Medicine, Division of Nephrology, Columbia University Irving Medical Center",Columbia University]US
1333,"Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
1334,"Bureau of Epidemiology, Pennsylvania Department of Health.",Pennsylvania Department of Health]US
1335,"Department of Medicine, Division of Nephrology, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
1336,"Department of Surgery, Emory University (RFP), Atlanta, Georgia.",Emory University]US
1337,"Department of Medicine, Division of Nephrology, University of California San Diego, San Diego, California, USA.",University of California]US
1338,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital, Boston, Massachusetts, USA. Electronic address: RPIERSON@mgh.harvard.edu.",Harvard University]US
1339,"Department of Medicine-Renal, University of Louisville School of Medicine, Louisville, Kentucky.",University of Louisville]US
1340,"Unit for Laboratory Animal Medicine, Department of Microbiology and Immunology, and Center for Computational Medicine and Bioinformatics, University of Michigan Medical School, Ann Arbor, Michigan.",University of Michigan]US
1341,"Division of Gastroenterology, Hepatology, and Nutrition, Department of Pediatrics, Baylor College of Medicine, Texas Children's Hospital, Houston, Texas, USA. Electronic address: dhleung@texaschlidrens.org.",Baylor College of Medicine]US
1342,"UPMC Hepatic and Transplantation Pathology, Pittsburg, Pennsylvania, USA.",University of Pittsburgh]US
1343,"Division of Transplant Surgery, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
1344,"Section of Cardiovascular Medicine, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.",Yale University]US
1345,"Division of Cardiothoracic Surgery, Department of Surgery, Washington University School of Medicine, St. Louis, Missouri, USA",Washington University in St. Louis]US
1346,"Division of Nephrology, School of Medicine, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
1347,"Division of Nephrology, Department of Internal Medicine, The Ohio State University College of Medicine, Columbus, Ohio.",Ohio State University]US
1348,"Baylor Scott & White Research Institute, Dallas, TX.",Baylor Scott & White Health]US
1349,"Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
1350,"Geriatrics Research Education and Clinical Care Service, Tennessee Valley Healthcare System VA, Nashville, Tennessee",VA Health Systems Research]US
1351,"Renaissance School of Medicine, Stony Brook University, Stony Brook, New York.",State University of New York]US
1352,"Kaiser Permanente Division of Nephrology, Oakland, California.",Kaiser Permanente]US
1353,"Nephrology Associates of Northern Illinois and Indiana (NANI), Chicago, Illinois.",Nephrology Associates of Northern Illinois and Indiana]US
1354,"Department of Epidemiology, University of Alabama at Birmingham, Birmingham, Alabama.",University of Alabama]US
1355,"Department of Internal Medicine, Division of Surgery, University of Tennessee Health Science Center, Memphis, Tennessee.",University of Tennessee]US
1356,"Department of Medicine, Rush University, Chicago, Illinois.",Rush University]US
1357,"Department of Medicine, New York University Langone School of Medicine, New York, New York.",New York University]US
1358,"Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins Medical Institutions, Baltimore, Maryland",Johns Hopkins University]US
1359,"Division of Medical Oncology, University of Washington, Seattle, Washington, USA.",University of Washington]US
1360,"Sanofi, Bridgewater, New Jersey.",Sanofi Inc]FR
1361,"Department of Emergency Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland",Johns Hopkins University]US
1362,"Department of Transplantation, Mayo Clinic, Jacksonville, FL.",Mayo Clinic]US
1363,"Harvard Medical School, Boston, Massachusetts, USA",Harvard University]US
1364,"Division of Nephrology, Department of Medicine, Stanford University School of Medicine, Stanford, California.",Stanford University]US
1365,"Department of Internal Medicine, Dell Medical School - The University of Texas at Austin, Austin, Texas.",University of Texas]US
1366,"CART Program, VHA Office of Quality and Safety, Washington, DC.",VA Health Systems Research]US
1367,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health]US
1368,"Institute for Genomic Health, Icahn School of Medicine at Mount Sinai, New York, New York.",Mount Sinai]US
1369,"Division of Nephrology, Department of Internal Medicine, University of Cincinnati, Cincinnati, Ohio, USA.",University of Cincinnati]US
1370,"Department of Internal Medicine, University of Pennsylvania School of Medicine, Philadelphia, Pennsylvania.",University of Pennsylvania]US
1371,"Institute for Clinical Research and Health Policy Studies, Tufts Medical Center, Boston.",Tufts University]US
1372,"Division of Nephrology and Hypertension and Department of Medicine, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
1373,"University of Texas Southwestern Medical Center, Dallas, Texas, USA.",University of Texas]US
1374,"Institute for Minority Health Research, University of Illinois at Chicago College of Medicine, Chicago, Illinois.",University of Illinois]US
1375,"Division of Renal Diseases and Hypertension, University of Colorado Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
1376,"Division of Transplantation, Department of Surgery, Medical University of South Carolina, Charleston, South Carolina, USA.",University of South Carolina]US
1377,"Department of Radiology-Interventional, University of Colorado School of Medicine, Aurora, Colorado, USA. Electronic address: premal.trivedi@cuanschutz.edu.",University of Colorado]US
1378,"Diabetes Center, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts.",Harvard University]US
1379,"Department of Medicine, Section of Infectious Diseases, Boston University School of Medicine, Boston, Massachusetts.",Boston University]US
1380,"Department of Surgery, Houston Methodist Hospital, Houston, Texas, USA, and Weill Cornell Medicine, New York, New York, USA.",Cornell University]US
1381,"Colorado Center for Transplantation Care, Research and Education (CCTCARE), Aurora, Colorado, USA.",University of Colorado]US
1382,"IBM Research Cambridge, Cambridge, Massachusetts.",IBM]US
1383,"Department of Epidemiology and Public Health, University of Maryland School of Medicine, University of Maryland, Baltimore, MD.",University of Maryland]US
1384,"Kootenai Health, Coeur d'Alene, Idaho.",Kootenai Health]US
1385,"Department of Surgery, Division of Transplantation, Medical College of Wisconsin, Milwaukee, WI. Electronic address: macooper@mcw.edu.",Medical College of Wisconsin]US
1386,"Department of Surgery, University of California-San Francisco, San Francisco, California, USA.",University of California]US
1387,"Massachusetts Veterans Epidemiology Research and Information Center, VA Boston Healthcare System, Boston, Massachusetts.",VA Health Systems Research]US
1388,"Division of Solid Organ Transplantation, Department of Surgery, University of Minnesota, Minneapolis, MN, USA.",University of Minnesota]US
1389,"Department of Surgery, University of Wisconsin, Madison, Wisconsin, USA.",University of Wisconsin]US
1390,"Division of Transplantation and Hepatobiliary Surgery, Department of Surgery, University of Florida, Gainesville, FL.",University of Florida]US
1391,"Department of Computer Science, University of Kentucky, Lexington, KY.",University of Kentucky]US
1392,"Biostatistics Resource at Nationwide Children's Hospital, Columbus, Ohio.",Ohio State University]US
1393,"Natera, San Carlos, CA.",Natera Inc]US
1394,"Arthritis and Clinical Immunology Program, Oklahoma Medical Research Foundation, Oklahoma City, Oklahoma.",Oklahoma Medical Research Foundation]US
1395,"Department of Medicine, Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
1396,"Columbia University Biomedical Engineering, New York, New York, USA.",Columbia University]US
1397,"Department of Urology, Mayo Clinic, Rochester, Minnesota.",Mayo Clinic]US
1398,"Division of Transplant Surgery and Transplant Surgery Research Laboratory, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA",Harvard University]US
1399,"Division of Nephrology, University of California, San Francisco and Nephrology Section, San Francisco VA Medical Center, San Francisco, California.",VA Health Systems Research]US
1400,"Department of Library Services, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
1401,"Division of Nephrology, Department of Internal Medicine, Carver College of Medicine, The University of Iowa, Iowa City, Iowa.",University of Iowa]US
1402,"Immunocompromised Host Infectious Diseases, Infectious Diseases Division, Massachusetts General Hospital, Harvard Medical School, Boston, MA.",Harvard University]US
1403,"Renal, Electrolyte, and Hypertension Division, Department of Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
1404,"Division of Nephrology, MetroHealth Medical Center, Case Western Reserve University, Cleveland, Ohio.",Case Western Reserve University]US
1405,"Laboratory of RNA Molecular Biology, The Rockefeller University, New York, NY.",Rockefeller University]US
1406,"Division of Pediatric Nephrology, Nationwide Children's Hospital, Columbus, Ohio.",Ohio State University]US
1407,"Department of Surgery, Robert Wood Johnson University Hospital, New Brunswick, New Jersey, USA.",Rutgers University]US
1408,"Department of Biostatistics, Yale School of Public Health, New Haven, CT.",Yale University]US
1409,"Division of Pulmonary, Allergy, and Critical Care, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
1410,"Department of Oncology, AZ Klina, Brasschaat, Belgium.",AZ Klina]BE
1411,Maryland Department of Health.,Maryland Department of Health]US
1412,"Kidney Research Institute and Division of Nephrology, University of Washington, Seattle, Washington.",University of Washington]US
1413,"Division of Gastroenterology, Hepatology and Nutrition, University of Pittsburgh Medical Center Children's Hospital of Pittsburgh, Pittsburgh, PA.",University of Pittsburgh]US
1414,"Section of Cardiology Michael E. DeBakey Veterans Affairs Medical Center, and Michael E. DeBakey VA Medical Center Health Services Research & Development Center for Innovations in Quality, Effectiveness and Safety, Houston, TX",VA Health Systems Research]US
1415,"Division of Nephrology, Department of Medicine, University of Alabama at Birmingham, Birmingham, Alabama, USA. Electronic address: ejudd@uabmc.edu.",University of Alabama]US
1416,"Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, Texas, USA.",University of Texas]US
1417,"Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA. Electronic address: wwerbel1@jhmi.edu.",Johns Hopkins University]US
1418,"Division of Transplant Surgery, Department of Surgery, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
1419,"Department of Epidemiology and Welch Center for Prevention, Epidemiology, & Clinical Research, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
1420,"Department of Community Health, Tufts University, Medford, Massachusetts. Electronic address: keren.ladin@tufts.edu.",Tufts University]US
1421,"Centura Transplant, Denver, Colorado.",Centura Transplant]US
1422,"Yale University, Department of Biomedical Engineering, New Haven, Connecticut, USA",Yale University]US
1423,"Department of Medicine, Cleveland Clinic, Cleveland, OH.",Case Western Reserve University]US
1424,"Department of Pathology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, USA.",Harvard University]US
1425,"VA Palo Alto Health Care System, Palo Alto, California.",VA Health Systems Research]US
1426,"Department of Surgery, University of Arkansas for Medical Sciences, Little Rock, AR.",University of Arkansas for Medical Sciences]US
1427,"Division of Nephrology, Stanford University School of Medicine, Palo Alto, California.",Stanford University]US
1428,"Department of Population Health, New York University Grossman School of Medicine, New York, New York, USA",New York University]US
1429,"Department of Medicine, Section of Nephrology, Yale School of Medicine, New Haven, CT.",Yale University]US
1430,"Department of Surgery, Saint Louis University, St. Louis, Missouri.",Saint Louis University]US
1431,"Department of Pediatrics, The Johns Hopkins University School of Medicine, Baltimore, MD.",Johns Hopkins University]US
1432,"Department of Medicine, University of California, San Francisco and Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, California.",University of California]US
1433,"Department of Genetics, Yale University School of Medicine, New Haven, Connecticut.",Yale University]US
1434,"Department of Pathology, University of Texas Medical Branch at Galveston, Texas, USA.",University of Texas]US
1435,"Department of Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
1436,"Division of Nephrology, Wexner Medical Center, The Ohio State University, Columbus, Ohio.",Ohio State University]US
1437,"Duke Transplant Center, Duke University School of Medicine, Durham, NC.",Duke University]US
1438,"Department of Medicine, University of California San Francisco, Fresno, California.",University of California]US
1439,"Department of Behavioral, Social and Health Education Sciences, Rollins School of Public Health, Emory University, Atlanta, Georgia.",Emory University]US
1440,"Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA",Harvard University]US
1441,"Department of Medicine, Emory University School of Medicine, Atlanta, Georgia.",Emory University]US
1442,"Natera, Inc., Austin, Texas.",Natera Inc]US
1443,"Michael E. DeBakey Veterans Affairs Medical Center, and Michael E. DeBakey VA Medical Center Health Services Research & Development Center for Innovations in Quality, Effectiveness and Safety, Houston, TX.",VA Health Systems Research]US
1444,"Wright State University Dayton VA Medical Center, Dayton, Ohio.",VA Health Systems Research]US
1445,"Department of Medicine, Division of Nephrology, Icahn School of Medicine at Mount Sinai, New York, New York.",Mount Sinai]US
1446,"Department of Medicine, Division of Nephrology, Columbia University Irving Medical Center.",Columbia University]US
1447,"Division of Nephrology, Department of Medicine, Duke University School of Medicine, Durham, North Carolina.",Duke University]US
1448,"Section of Nephrology, Department of Medicine, University of Chicago Medicine, Chicago, Illinois.",University of Chicago]US
1449,"Elemental Scientific, Omaha, Nebraska.",Elemental Scientific Inc]US
1450,"Division of Nephrology, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
1451,"Department of Medicine, Grossman School of Medicine, New York University, New York, New York.",New York University]US
1452,"Department of Biostatistics, University of Washington, Seattle, WA.",University of Washington]US
1453,"NextGen Precision Health,University of Missouri,Columbia,Missouri,USA.",University of Missouri]US
1454,"Division of Pediatric Nephrology, Department of Pediatrics, Emory University and Children's Healthcare of Atlanta, Atlanta, Georgia.",Emory University]US
1455,"Department of Epidemiology, Mailman School of Public Health, Columbia University Irving Medical Center.",Columbia University]US
1456,"Department of Surgery, Penn Transplant Institute, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
1457,"Baylor University Medical Center, Dallas, TX.",Baylor University]US
1458,"University of California-San Francisco, San Francisco, California.",University of California]US
1459,"Section of Nephrology, Department of Medicine, Boston Medical Center, Boston University Chobanian & Avedisian School of Medicine, Boston, Massachusetts.",Boston University]US
1460,"Program in Transplantation, University of Maryland Medical System, Baltimore, MD.",University of Maryland]US
1461,"Westat, Rockville, Maryland.",Westat Inc]US
1462,"Center for Transplantation Sciences, Massachusetts General Hospital, Boston, Massachusetts, USA. Electronic address: rbcolvin@mgh.harvard.edu.",Harvard University]US
1463,"University of Miami Miller School of Medicine, Miami, Florida, USA.",University of Miami]US
1464,"Department of Surgery, Division of Transplantation and Advanced Hepatobiliary Surgery, University of Utah Spencer Fox Eccles School of Medicine, Salt Lake City, Utah.",University of Utah]US
1465,"Division of Solid Organ Transplantation, Department of Surgery, University of Minnesota, Minneapolis, MN, USA",University of Minnesota]US
1466,"Beetham Eye Institute, Joslin Diabetes Center, Boston, MA.",Harvard University]US
1467,"Duke University School of Medicine, Durham, Carolina, USA.",Duke University]US
1468,"Department of Surgery, Columbia University College of Physicians and Surgeons, New York, NY.",Columbia University]US
1469,"Division of Nephrology, Department of Pediatrics, Children's Mercy Kansas City, Kansas City, Missouri.",University of Kansas]US
1470,"Department of Pediatrics, Perelman School of Medicine at the University of Pennsylvania, and Division of Nephrology, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
1471,"Department of Cardiology, Cedars-Sinai Smidt Heart Institute, Los Angeles, CA.",University of California]US
1472,"Department of Surgery, Division of Transplantation, Emory University School of Medicine, Atlanta, Georgia, USA.",Emory University]US
1473,"Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine, Aurora, Colorado.",University of Colorado]US
1474,"Department of Surgery, Michigan Medicine, Ann Arbor, MI.",University of Michigan]US
1475,"Department of Medicine, Division of Nephrology and Hypertension, University of North Carolina, Chapel Hill, NC, 27516, USA.",University of North Carolina]US
1476,"Department of Surgery, Baylor College of Medicine, Houston, Texas, USA.",Baylor College of Medicine]US
1477,"Division of Nephrology, Department of Medicine, School of Medicine, Tufts University, Boston, Massachusetts. Electronic address: cgordon@tuftsmedicalcenter.org.",Tufts University]US
1478,"Welch Center for Prevention, Epidemiology, and Clinical Research, School of Medicine, Johns Hopkins University, Baltimore, Maryland",Johns Hopkins University]US
1479,"Department of Population Health Sciences, Duke University School of Medicine, Durham, North Carolina.",Duke University]US
1480,"Howard Hughes Medical Institute, New York University School of Medicine, New York, USA.",New York University]US
1481,"Department of Medicine, UT Southwestern Medical Center, Dallas, TX.",University of Texas]US
1482,"Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts.",Harvard University]US
1483,"UCLA Immunogenetics Center, David Geffen School of Medicine, University of California, Los Angeles, California, USA.",University of California]US
1484,"Department of Medicine, David Geffen School of Medicine, University of California, Los Angeles, California.",University of California]US
1485,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota, USA.",Mayo Clinic]US
1486,"East Tennessee State University, Johnson City, Tennessee.",Tennessee State University]US
1487,"Laboratory Medicine and Pathology, University of Washington School of Medicine, Seattle, Washington, USA.",University of Washington]US
1488,"Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota, USA.",Mayo Clinic]US
1489,"Department of Medicine, Renal-Electrolyte Division, University of Pittsburgh, Pittsburgh, Pennsylvania.",University of Pittsburgh]US
1490,"Northwestern University Feinberg School of Medicine, Chicago, Illinois USA.",Northwestern Univerisity]US
1491,"Surgical Sciences Division, Department of Surgery, School of Medicine, University of Maryland, Baltimore, MD.",University of Maryland]US
1492,"Department of Surgery, New York Presbyterian/Weill Cornell Medical Center, New York, New York, USA.",Cornell University]US
1493,"Discovery Lab,Applied Intelligence,Accenture,Washington,DC,USA.",Accenture]US
1494,"Department of Medicine, Division of Hepatology, University of California San Diego, San Diego, California, USA.",University of California]US
1495,"Department of Surgery, University of California, San Francisco, California, USA.",University of California]US
1496,"Division of Transplantation, Department of Surgery, Emory University School of Medicine, Atlanta, Georgia.",Emory University]US
1497,"Revivicor, Inc, Blacksburg, VA.",Revivicor Inc]US
1498,"Division of Cardiothoracic Transplantation and Mechanical Circulatory Support, Michael E. DeBakey Department of Surgery, Baylor College of Medicine, Houston, TX.",Baylor College of Medicine]US
1499,"Department of Surgery,Keck Medical Center,University of Southern California,Los Angeles,California,USA.",University of Southern California]US
1500,"Section of Nephrology, Department of Medicine, Boston University Chobanian & Avedisian School of Medicine and Boston Medical Center, Boston, MA.",Boston University]US
1501,"Children's Healthcare of Atlanta, Atlanta, Georgia.",Emory University]US
1502,"Alport Syndrome Foundation, Scottsdale, Arizona.",Alport Syndrome Foundation]US
1503,"Children's Mercy Hospital and University of Missouri-Kansas City School of Medicine, Kansas City, Missouri.",University of Kansas]US
1504,"Division of Nephrology, Hypertension and Renal Transplantation, University of Kentucky, Lexington, Kentucky.",University of Kentucky]US
1505,"Kidney Health Research Institute, Geisinger Health System, Danville, Pennsylvania.",Geisinger Health]US
1506,"Division of Medical Subspecialties, Section of Pediatric Nephrology, Helen DeVos Children's Hospital, Grand Rapids, Michigan.",Michigan State University]US
1507,"Nephrology Section, Veterans Affairs San Diego Healthcare System, San Diego, California.",VA Health Systems Research]US
1508,"Department of Surgery, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
1509,"Office of Therapeutic Products, Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, Maryland.",Department of Health and Human Services]US
1510,"Division of Nephrology, Department of Pediatrics, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania",University of Pennsylvania]US
1511,"Selzman Institute for Kidney Health, Section of Nephrology, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
1512,"Department of Pediatrics, UCLA Mattel Children's Hospital, University of California at Los Angeles, Los Angeles, California.",University of California]US
1513,"Division of Pediatric Nephrology, Nemours Children's Health, Wilmington, Delaware.",Thomas Jefferson University]US
1514,"Center for Access and Delivery Research and Evaluation (CADRE), Iowa City VA Health Care System, Iowa City, Iowa, USA.",VA Health Systems Research]US
1515,"Department of Pediatrics, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
1516,"Department of Surgery, University of Cincinnati College of Medicine, Cincinnati, Ohio, USA. Electronic address: changax@ucmail.uc.edu.",University of Cincinnati]US
1517,"Division of Gastroenterology and Hepatology, Department of Medicine, Northwestern Medicine, Chicago, Illinois, USA.",Northwestern University]US
1518,"Division of Cardiothoracic Surgery, University of California, San Francisco, California, USA.",University of California]US
1519,"Recanati/Miller Transplantation Institute, Mount Sinai Hospital, New York, New York, USA.",Mount Sinai]US
1520,"Division of Transplant Surgery, Department of Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, MA.",Harvard University]US
1521,"Tennessee Valley Healthcare System, Nashville VA Medical Center, Nashville, Tennessee.",VA Health Systems Research]US
1522,"Department of Medicine, University of California, San Francisco, California, USA.",University of California]US
